"id","lote","data_lote","fonte","nivel","livro_biblico","testamento","categoria_ebd","ebd_versao","referencia","pergunta_pt","alternativa_pt_a","alternativa_pt_b","alternativa_pt_c","alternativa_pt_d","resposta_correta","pergunta_en","alternativa_en_a","alternativa_en_b","alternativa_en_c","alternativa_en_d","status_revisao"
"33000","ESTER_COMPLETO","2026-08-22","IA (Claude)","1","Ester","AT","","","Et 1:1","Sobre quantas províncias Assuero reinava?","Cento e vinte e sete","Setenta","Doze","Cem","0","","","","","","rascunho (IA)"
"33001","ESTER_COMPLETO","2026-08-22","IA (Claude)","1","Ester","AT","","","Et 1:11","O que o rei Assuero pediu à rainha Vasti, que ela recusou?","Que se casasse com outro rei","Que comparecesse diante dele com a coroa real","Que oferecesse um banquete","Que deixasse o palácio","1","","","","","","rascunho (IA)"
"33002","ESTER_COMPLETO","2026-08-22","IA (Claude)","1","Ester","AT","","","Et 2:7","Quem criou Ester, sua prima, como se fosse sua filha?","Assuero","Harbona","Mardoqueu","Hamã","2","","","","","","rascunho (IA)"
"33003","ESTER_COMPLETO","2026-08-22","IA (Claude)","1","Ester","AT","","","Et 2:17","O que o rei fez ao escolher Ester entre todas as candidatas?","Enviou-a de volta à sua casa","Consultou os sábios antes de decidir","Pediu conselho a Mardoqueu","Fez dela rainha em lugar de Vasti","3","","","","","","rascunho (IA)"
"33004","ESTER_COMPLETO","2026-08-22","IA (Claude)","1","Ester","AT","","","Et 3:1","Quem foi promovido pelo rei e se tornou o principal inimigo dos judeus?","Hamã","Mardoqueu","Harbona","Zeres","0","","","","","","rascunho (IA)"
"33005","ESTER_COMPLETO","2026-08-22","IA (Claude)","1","Ester","AT","","","Et 3:2","Por que Hamã ficou furioso com Mardoqueu?","Porque Mardoqueu o acusara ao rei","Porque Mardoqueu não se curvava nem se prostrava diante dele","Porque Mardoqueu era mais rico","Porque Mardoqueu era parente do rei","1","","","","","","rascunho (IA)"
"33006","ESTER_COMPLETO","2026-08-22","IA (Claude)","1","Ester","AT","","","Et 4:14","Que frase famosa Mardoqueu disse a Ester, sobre o seu propósito?","O rei jamais te abandonará","Nada temas, pois estás segura no palácio","Quem sabe se não foi para tal tempo como este que chegaste à posição real?","Deus te escolheu para seres rainha para sempre","2","","","","","","rascunho (IA)"
"33007","ESTER_COMPLETO","2026-08-22","IA (Claude)","1","Ester","AT","","","Et 4:16","O que Ester pediu a Mardoqueu antes de ir falar com o rei sem ser chamada?","Que avisasse o rei previamente","Que buscasse ajuda de outros reinos","Que escondesse a sua origem judaica","Que reunisse os judeus para jejuar por ela","3","","","","","","rascunho (IA)"
"33008","ESTER_COMPLETO","2026-08-22","IA (Claude)","1","Ester","AT","","","Et 5:3","O que o rei ofereceu a Ester, ao vê-la no átrio interior?","Até metade do reino","Um novo palácio","Riquezas sem limite","A vida de Mardoqueu","0","","","","","","rascunho (IA)"
"33009","ESTER_COMPLETO","2026-08-22","IA (Claude)","1","Ester","AT","","","Et 7:6","Diante do rei e de Ester, quem Ester acusou de ser o inimigo?","Vasti","Hamã","Zeres","Harbona","1","","","","","","rascunho (IA)"
"33010","ESTER_COMPLETO","2026-08-22","IA (Claude)","1","Ester","AT","","","Et 7:10","O que aconteceu a Hamã, na forca que ele mesmo preparara?","Foi exilado do reino","Foi preso na prisão real","Foi enforcado nela","Foi perdoado pelo rei","2","","","","","","rascunho (IA)"
"33011","ESTER_COMPLETO","2026-08-22","IA (Claude)","1","Ester","AT","","","Et 9:22","Que festa foi instituída para lembrar o livramento dos judeus?","Páscoa","Tabernáculos","Hanucá","Purim","3","","","","","","rascunho (IA)"
"33012","ESTER_COMPLETO","2026-08-22","IA (Claude)","1","Ester","AT","","","Et 1:19","O que Assuero decretou, depois que Vasti se recusou a comparecer?","Que ela não mais viesse à presença do rei","Que ela fosse morta","Que ela fosse exilada","Que ela pagasse uma multa","0","","","","","","rascunho (IA)"
"33013","ESTER_COMPLETO","2026-08-22","IA (Claude)","1","Ester","AT","","","Et 2:5","A que tribo de Israel Mardoqueu pertencia?","Efraim","Benjamim","Judá","Levi","1","","","","","","rascunho (IA)"
"33014","ESTER_COMPLETO","2026-08-22","IA (Claude)","1","Ester","AT","","","Et 2:21","Que conspiração Mardoqueu descobriu contra o rei?","Um plano para depor a rainha","Um plano para atacar os judeus","Um plano de dois oficiais para matar o rei","Um plano para roubar o tesouro real","2","","","","","","rascunho (IA)"
"33015","ESTER_COMPLETO","2026-08-22","IA (Claude)","1","Ester","AT","","","Et 6:1","O que o rei fez, não conseguindo dormir uma noite?","Convocou os seus conselheiros","Foi caminhar pelo jardim","Chamou Ester para conversar","Mandou trazer o livro das crônicas para ler","3","","","","","","rascunho (IA)"
"33016","ESTER_COMPLETO","2026-08-22","IA (Claude)","1","Ester","AT","","","Et 8:8","O que o rei permitiu a Mardoqueu e Ester fazer, para proteger os judeus?","Escrever um novo decreto em nome do rei","Executar Hamã publicamente","Expulsar todos os inimigos dos judeus","Construir um novo palácio","0","","","","","","rascunho (IA)"
"33017","ESTER_COMPLETO","2026-08-22","IA (Claude)","2","Ester","AT","","","Et 1:3","Em que ano do seu reinado Assuero deu um grande banquete?","No décimo ano","No terceiro ano","No primeiro ano","No sétimo ano","1","","","","","","rascunho (IA)"
"33018","ESTER_COMPLETO","2026-08-22","IA (Claude)","2","Ester","AT","","","Et 1:6","Que materiais decoravam o pátio do banquete de Assuero?","Mármore e bronze","Tapetes persas e sedas","Linho branco, verde e azul, presos com cordões de púrpura","Ouro e prata puros","2","","","","","","rascunho (IA)"
"33019","ESTER_COMPLETO","2026-08-22","IA (Claude)","2","Ester","AT","","","Et 1:10","No sétimo dia do banquete, o que Assuero ordenou aos sete eunucos?","Que preparassem um novo banquete","Que chamassem os sábios do reino","Que anunciassem um decreto","Que trouxessem Vasti com a coroa real, para mostrar a sua formosura","3","","","","","","rascunho (IA)"
"33020","ESTER_COMPLETO","2026-08-22","IA (Claude)","2","Ester","AT","","","Et 1:13","A quem o rei consultou sobre o que fazer com Vasti?","Aos sábios que conheciam os tempos e a lei","Aos sacerdotes do templo persa","Aos generais do exército","Ao povo reunido na praça","0","","","","","","rascunho (IA)"
"33021","ESTER_COMPLETO","2026-08-22","IA (Claude)","2","Ester","AT","","","Et 2:3","O que o rei ordenou para escolher uma nova rainha?","Que se fizesse um sorteio entre as províncias","Que se reunissem todas as moças formosas em Susã","Que se consultasse os astrólogos","Que se escolhesse entre as famílias nobres","1","","","","","","rascunho (IA)"
"33022","ESTER_COMPLETO","2026-08-22","IA (Claude)","2","Ester","AT","","","Et 2:9","Que favor Ester recebeu de Hegai, o guarda das mulheres?","Escondeu a sua origem judaica","Concedeu-lhe liberdade para sair do palácio","Deu-lhe logo as coisas necessárias para os seus cuidados de beleza","Apresentou-a imediatamente ao rei","2","","","","","","rascunho (IA)"
"33023","ESTER_COMPLETO","2026-08-22","IA (Claude)","2","Ester","AT","","","Et 2:10","O que Ester não revelou, seguindo o conselho de Mardoqueu?","A sua idade verdadeira","O seu nome de nascença","A sua origem em Susã","O seu povo e a sua parentela","3","","","","","","rascunho (IA)"
"33024","ESTER_COMPLETO","2026-08-22","IA (Claude)","2","Ester","AT","","","Et 2:16","Em que mês Ester foi levada à presença do rei Assuero?","No décimo mês","No primeiro mês","No sétimo mês","No terceiro mês","0","","","","","","rascunho (IA)"
"33025","ESTER_COMPLETO","2026-08-22","IA (Claude)","2","Ester","AT","","","Et 3:7","Como Hamã determinou o dia do ataque aos judeus?","Escolhendo o dia de seu nascimento","Lançando Pur, isto é, sortes, perante ele","Consultando os astrólogos do rei","Perguntando ao próprio rei","1","","","","","","rascunho (IA)"
"33026","ESTER_COMPLETO","2026-08-22","IA (Claude)","2","Ester","AT","","","Et 3:9","Quanto Hamã ofereceu ao rei para financiar a destruição dos judeus?","Cem talentos de prata","Cinco mil talentos de ouro","Dez mil talentos de prata","Mil talentos de ouro","2","","","","","","rascunho (IA)"
"33027","ESTER_COMPLETO","2026-08-22","IA (Claude)","2","Ester","AT","","","Et 3:13","O que os decretos enviados pelos correios ordenavam contra os judeus?","Expulsá-los de todas as províncias","Escravizá-los nas obras do rei","Confiscar todos os seus bens","Destruir, matar e exterminar a todos, jovens e velhos","3","","","","","","rascunho (IA)"
"33028","ESTER_COMPLETO","2026-08-22","IA (Claude)","2","Ester","AT","","","Et 4:1","Como Mardoqueu reagiu ao saber do decreto contra os judeus?","Rasgou as suas vestes, vestiu-se de saco e cinza, e saiu clamando pela cidade","Foi imediatamente falar com o rei","Escondeu-se em sua casa","Reuniu um exército para resistir","0","","","","","","rascunho (IA)"
"33029","ESTER_COMPLETO","2026-08-22","IA (Claude)","2","Ester","AT","","","Et 4:11","Que lei tornava perigoso Ester ir à presença do rei sem ser chamada?","Bastava anunciar a visita com antecedência","Quem quer que fosse, homem ou mulher, sem ser chamado, seria morto, salvo se o rei estendesse o cetro","Somente mulheres precisavam de permissão","A lei se aplicava apenas aos estrangeiros","1","","","","","","rascunho (IA)"
"33030","ESTER_COMPLETO","2026-08-22","IA (Claude)","2","Ester","AT","","","Et 5:2","O que aconteceu quando Ester se aproximou do rei, sem ter sido chamada?","O rei chamou os guardas","O rei consultou os conselheiros primeiro","O rei estendeu o cetro de ouro que tinha na mão","O rei a mandou embora imediatamente","2","","","","","","rascunho (IA)"
"33031","ESTER_COMPLETO","2026-08-22","IA (Claude)","2","Ester","AT","","","Et 5:9","Como Hamã se sentiu ao sair do primeiro banquete de Ester?","Preocupado com o futuro","Triste pela ausência do rei","Indiferente aos acontecimentos","Alegre e de bom ânimo","3","","","","","","rascunho (IA)"
"33032","ESTER_COMPLETO","2026-08-22","IA (Claude)","2","Ester","AT","","","Et 5:14","O que Zeres e os amigos de Hamã sugeriram fazer com Mardoqueu?","Erguer uma forca de cinquenta côvados e pedir ao rei para enforcá-lo","Expulsá-lo da cidade","Denunciá-lo ao rei por traição","Confiscar todos os seus bens","0","","","","","","rascunho (IA)"
"33033","ESTER_COMPLETO","2026-08-22","IA (Claude)","2","Ester","AT","","","Et 6:6","O que Hamã pensou, ao ser perguntado como honrar a quem o rei quer honrar?","Que o rei queria testá-lo","Que o rei quereria honrar a ele mesmo","Que o rei se referia a Mardoqueu","Que o rei planejava um novo banquete","1","","","","","","rascunho (IA)"
"33034","ESTER_COMPLETO","2026-08-22","IA (Claude)","3","Ester","AT","","","Et 1:1","Como Assuero é descrito no início do livro, quanto à extensão do seu império?","Reinou desde o Egito até a Babilônia","Reinou sobre doze províncias apenas","Reinou desde a Índia até a Etiópia","Reinou apenas sobre a Pérsia","2","","","","","","rascunho (IA)"
"33035","ESTER_COMPLETO","2026-08-22","IA (Claude)","3","Ester","AT","","","Et 1:4","Por quantos dias Assuero mostrou as riquezas do seu reino, antes do banquete final?","Sete dias","Quarenta dias","Trinta dias","Cento e oitenta dias","3","","","","","","rascunho (IA)"
"33036","ESTER_COMPLETO","2026-08-22","IA (Claude)","3","Ester","AT","","","Et 1:8","Que regra especial havia sobre a bebida no banquete de Assuero?","Ninguém era obrigado a beber, cada um faria segundo a sua vontade","Todos deviam beber igualmente","Somente os nobres podiam beber vinho","A bebida era proibida durante o dia","0","","","","","","rascunho (IA)"
"33037","ESTER_COMPLETO","2026-08-22","IA (Claude)","3","Ester","AT","","","Et 1:16","Que argumento Memucã usou para convencer o rei a punir Vasti?","Que ela desobedecera a lei persa","Que o exemplo dela se espalharia entre todas as mulheres do reino","Que ela havia insultado o rei publicamente","Que ela conspirava contra o trono","1","","","","","","rascunho (IA)"
