"id","lote","data_lote","fonte","nivel","livro_biblico","testamento","categoria_ebd","ebd_versao","referencia","pergunta_pt","alternativa_pt_a","alternativa_pt_b","alternativa_pt_c","alternativa_pt_d","resposta_correta","pergunta_en","alternativa_en_a","alternativa_en_b","alternativa_en_c","alternativa_en_d","status_revisao"
"31000","NEEMIAS_COMPLETO","2026-08-22","IA (Claude)","1","Neemias","AT","","","Ne 1:1","Quem era Neemias, segundo o início do livro?","Copeiro do rei","Sacerdote do templo","Escriba da lei","Governador da Judeia","0","","","","","","rascunho (IA)"
"31001","NEEMIAS_COMPLETO","2026-08-22","IA (Claude)","1","Neemias","AT","","","Ne 1:1","A que rei Neemias servia como copeiro?","Assuero","Artaxerxes","Ciro","Dario","1","","","","","","rascunho (IA)"
"31002","NEEMIAS_COMPLETO","2026-08-22","IA (Claude)","1","Neemias","AT","","","Ne 1:3","Que notícia deixou Neemias muito triste?","Que o povo fora levado cativo","Que o rei morrera","Que os muros de Jerusalém estavam derrubados","Que o templo fora destruído","2","","","","","","rascunho (IA)"
"31003","NEEMIAS_COMPLETO","2026-08-22","IA (Claude)","1","Neemias","AT","","","Ne 2:5","O que Neemias pediu ao rei?","Que lhe desse riquezas","Que o nomeasse governador da Pérsia","Que libertasse todos os cativos","Que o enviasse a Jerusalém para reedificar a cidade","3","","","","","","rascunho (IA)"
"31004","NEEMIAS_COMPLETO","2026-08-22","IA (Claude)","1","Neemias","AT","","","Ne 2:17","Que convite Neemias fez ao povo de Jerusalém?","Vinde, reedifiquemos o muro de Jerusalém","Vinde, celebremos uma festa","Vinde, ofereçamos sacrifícios","Vinde, contemos o povo","0","","","","","","rascunho (IA)"
"31005","NEEMIAS_COMPLETO","2026-08-22","IA (Claude)","1","Neemias","AT","","","Ne 4:17","Como os construtores trabalhavam, por causa dos inimigos?","Divididos em turnos de vigília","Com uma mão na obra e a outra segurando a arma","Somente à noite","Em silêncio absoluto","1","","","","","","rascunho (IA)"
"31006","NEEMIAS_COMPLETO","2026-08-22","IA (Claude)","1","Neemias","AT","","","Ne 6:15","Em quantos dias o muro de Jerusalém foi concluído?","Cem","Sete","Cinquenta e dois","Quarenta","2","","","","","","rascunho (IA)"
"31007","NEEMIAS_COMPLETO","2026-08-22","IA (Claude)","1","Neemias","AT","","","Ne 8:1","Quem leu a lei de Moisés diante de todo o povo?","Neemias","Zorobabel","Mardoqueu","Esdras","3","","","","","","rascunho (IA)"
"31008","NEEMIAS_COMPLETO","2026-08-22","IA (Claude)","1","Neemias","AT","","","Ne 8:9","O que Neemias disse ao povo que chorava ao ouvir a lei?","Que aquele dia era santo, não deveriam chorar","Que deveriam jejuar imediatamente","Que deveriam se arrepender em silêncio","Que deveriam confessar os pecados","0","","","","","","rascunho (IA)"
"31009","NEEMIAS_COMPLETO","2026-08-22","IA (Claude)","1","Neemias","AT","","","Ne 8:10","O que Neemias disse ser a força do povo?","A força dos muros","A alegria do Senhor","A obediência à lei","A união das tribos","1","","","","","","rascunho (IA)"
