"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"63000";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Jonas";"AT";"";"";"Jn 1:1-2";"Para qual grande cidade Deus mandou Jonas ir pregar?";"Nínive";"Babilônia";"Jerusalém";"Damasco";"0";"";"";"";"";"";"rascunho (IA)"
"63001";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Jonas";"AT";"";"";"Jn 1:3";"Para onde Jonas tentou fugir, ao invés de obedecer ao Senhor?";"Egito";"Társis";"Babilônia";"Damasco";"1";"";"";"";"";"";"rascunho (IA)"
"63002";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Jonas";"AT";"";"";"Jn 1:4";"O que o Senhor mandou ao mar, quando o navio de Jonas navegava para Társis?";"Um arco-íris";"Uma nuvem de fogo";"Um grande vento e uma tempestade";"Um cardume de peixes";"2";"";"";"";"";"";"rascunho (IA)"
"63003";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Jonas";"AT";"";"";"Jn 1:5";"O que Jonas estava fazendo no porão do navio, durante a tempestade?";"Orava em voz alta";"Remava com os marinheiros";"Contava suas moedas";"Dormia um profundo sono";"3";"";"";"";"";"";"rascunho (IA)"
"63004";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Jonas";"AT";"";"";"Jn 1:7";"Como os marinheiros descobriram que Jonas era o culpado pela tempestade?";"Lançaram sortes, e a sorte caiu sobre ele";"Um anjo lhes revelou em sonho";"Jonas confessou espontaneamente";"O capitão teve uma visão";"0";"";"";"";"";"";"rascunho (IA)"
"63005";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Jonas";"AT";"";"";"Jn 1:12";"O que Jonas pediu que os marinheiros fizessem com ele, para que o mar se acalmasse?";"Que o levassem de volta a Jope";"Que o lançassem ao mar";"Que orassem por ele";"Que o escondessem no porão";"1";"";"";"";"";"";"rascunho (IA)"
"63006";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Jonas";"AT";"";"";"Jn 1:15";"O que aconteceu ao mar depois que os marinheiros lançaram Jonas nele?";"O mar ficou ainda mais violento";"O navio afundou de vez";"O mar se aquietou";"Surgiu um arco-íris";"2";"";"";"";"";"";"rascunho (IA)"
"63007";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Jonas";"AT";"";"";"Jn 1:17";"O que o Senhor preparou para engolir Jonas, depois que ele foi lançado ao mar?";"Uma baleia branca";"Um navio fantasma";"Uma serpente marinha";"Um grande peixe";"3";"";"";"";"";"";"rascunho (IA)"
"63008";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Jonas";"AT";"";"";"Jn 2:10";"O que o peixe fez com Jonas, depois de três dias e três noites?";"Vomitou-o na terra";"Levou-o até Társis";"Afundou com ele no mar";"Guardou-o para sempre";"0";"";"";"";"";"";"rascunho (IA)"
"63009";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Jonas";"AT";"";"";"Jn 3:2-4";"O que Jonas anunciou ao entrar em Nínive?";"Que o rei morreria em breve";"Que em quarenta dias a cidade seria subvertida";"Que uma seca destruiria a cidade";"Que inimigos já cercavam os muros";"1";"";"";"";"";"";"rascunho (IA)"
"63010";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Jonas";"AT";"";"";"Jn 3:5";"Como o povo de Nínive reagiu à pregação de Jonas?";"Riu e expulsou Jonas da cidade";"Ignorou completamente a mensagem";"Creu em Deus e proclamou um jejum";"Prendeu Jonas como espião";"2";"";"";"";"";"";"rascunho (IA)"
"63011";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Jonas";"AT";"";"";"Jn 3:6";"O que o rei de Nínive fez ao ouvir a mensagem de Jonas?";"Mandou executar Jonas";"Reuniu o exército para a guerra";"Ofereceu um banquete de despedida";"Levantou-se do trono e vestiu-se de pano de saco";"3";"";"";"";"";"";"rascunho (IA)"
"63012";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Jonas";"AT";"";"";"Jn 4:6";"O que Deus fez nascer sobre Jonas, para lhe dar sombra e livrá-lo do enfado?";"Uma aboboreira";"Uma palmeira";"Uma tenda de pano";"Um cedro do Líbano";"0";"";"";"";"";"";"rascunho (IA)"
"63013";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Jonas";"AT";"";"";"Jn 4:7";"O que aconteceu à aboboreira que dava sombra a Jonas?";"Ela cresceu ainda mais";"Um bicho a feriu, e ela secou";"Foi arrancada pelo vento";"Deu frutos maduros";"1";"";"";"";"";"";"rascunho (IA)"
"63014";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Jonas";"AT";"";"";"Jn 4:11";"Por que Deus disse que teria compaixão da grande cidade de Nínive?";"Porque era a cidade mais rica do mundo";"Porque o rei havia se convertido pessoalmente";"Porque havia mais de cento e vinte mil pessoas nela";"Porque Jonas pediu perdão por ela";"2";"";"";"";"";"";"rascunho (IA)"
"63015";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Jonas";"AT";"";"";"Jn 1:2";"Por que Deus mandou Jonas clamar contra Nínive, segundo o chamado inicial?";"Porque a cidade não pagava tributo a Israel";"Porque o rei de Nínive havia ofendido Jonas";"Porque a cidade estava em guerra com Judá";"Porque a malícia da cidade tinha subido até Deus";"3";"";"";"";"";"";"rascunho (IA)"
"63016";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Jonas";"AT";"";"";"Jn 1:3";"De qual porto Jonas embarcou, ao descer para fugir para Társis?";"Jope";"Jerusalém";"Cesareia";"Tiro";"0";"";"";"";"";"";"rascunho (IA)"
"63017";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Jonas";"AT";"";"";"Jn 1:6";"O que o mestre do navio pediu que Jonas fizesse, ao encontrá-lo dormindo?";"Que ajudasse a remar";"Que se levantasse e invocasse o seu Deus";"Que jogasse a carga ao mar";"Que revelasse seu nome verdadeiro";"1";"";"";"";"";"";"rascunho (IA)"
"63018";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Jonas";"AT";"";"";"Jn 1:9";"Como Jonas se identificou aos marinheiros, quando perguntado sobre seu povo?";"Sou um mercador de Társis";"Sou um sacerdote fugitivo";"Sou hebreu e temo ao Senhor, o Deus do céu";"Sou um soldado do rei de Judá";"2";"";"";"";"";"";"rascunho (IA)"
"63019";"JONAS_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Jonas";"AT";"";"";"Jn 1:11-13";"O que os marinheiros tentaram fazer antes de lançar Jonas ao mar?";"Oferecer Jonas em sacrifício imediato";"Jogar toda a tripulação ao mar";"Voltar direto para Jope";"Remar com esforço para alcançar a terra";"3";"";"";"";"";"";"rascunho (IA)"
