id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
85000;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 1:1;Como João inicia seu evangelho, falando do Verbo?;No princípio era o Verbo;Livro da geração de Jesus Cristo;Houve nos dias de Herodes;Muitos empreenderam narrar;0;;;;;;rascunho (IA)
85001;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 1:14;O que aconteceu com o Verbo, segundo João?;Subiu ao céu;Fez-se carne e habitou entre nós;Tornou-se um anjo;Permaneceu invisível;1;;;;;;rascunho (IA)
85002;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 1:29;Como João Batista chamou Jesus ao vê-lo se aproximar?;Filho de Davi;Cordeiro de Deus;Rei dos judeus;Mestre de Israel;1;;;;;;rascunho (IA)
85003;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 2:1-9;Qual foi o primeiro milagre de Jesus, realizado nas bodas de Caná?;Multiplicar pães;Transformar água em vinho;Curar um cego;Acalmar a tempestade;1;;;;;;rascunho (IA)
85004;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 3:1-2;A que horas Nicodemos foi procurar Jesus?;De manhã cedo;Ao meio-dia;De noite;No fim da tarde;2;;;;;;rascunho (IA)
85005;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 3:16;Como começa o versículo mais conhecido do Evangelho de João sobre o amor de Deus?;Porque Deus amou o mundo de tal maneira;No princípio era o Verbo;Eu sou o caminho, a verdade e a vida;Vinde a mim todos os que estais cansados;0;;;;;;rascunho (IA)
85006;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 4:6-7;Onde Jesus conversou com a mulher samaritana?;Num poço;Numa sinagoga;Numa casa;Num templo;0;;;;;;rascunho (IA)
85007;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 4:46-53;Como Jesus curou o filho do oficial do rei?;Tocando-o;Ungindo-o com óleo;À distância, apenas com a palavra;Levando-o ao templo;2;;;;;;rascunho (IA)
85008;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 5:2-9;Onde ficava o paralítico que Jesus curou, esperando havia muito tempo?;No tanque de Betesda;No rio Jordão;No poço de Jacó;No monte das Oliveiras;0;;;;;;rascunho (IA)
85009;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 6:9-13;Quem tinha os pães e peixes usados na multiplicação, segundo João?;Um pescador;Um menino;Um sacerdote;Um dos apóstolos;1;;;;;;rascunho (IA)
85010;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 6:19;O que Jesus fez que assustou os discípulos no mar da Galileia?;Acalmou a tempestade;Andou sobre as águas;Afundou o barco;Pescou muitos peixes;1;;;;;;rascunho (IA)
85011;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 8:3-11;O que os escribas e fariseus trouxeram a Jesus para testá-lo?;Um leproso;Uma mulher pega em adultério;Um cego de nascença;Um paralítico;1;;;;;;rascunho (IA)
85012;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 9:1-7;Que enfermidade tinha o homem que Jesus curou lavando-o no tanque de Siloé?;Surdez;Cegueira de nascença;Paralisia;Lepra;1;;;;;;rascunho (IA)
85013;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 11:1-44;Quem Jesus ressuscitou depois de estar morto quatro dias?;Jairo;Lázaro;O filho da viúva;A filha de Jairo;1;;;;;;rascunho (IA)
85014;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 11:35;Qual é o versículo mais curto da Bíblia, segundo João, ao chegar ao túmulo de Lázaro?;Jesus chorou;Jesus orou;Jesus calou-se;Jesus gemeu;0;;;;;;rascunho (IA)
85015;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 12:3;O que Maria usou para ungir os pés de Jesus em Betânia?;Água pura;Bálsamo de nardo;Óleo de oliva;Mirra e aloés;1;;;;;;rascunho (IA)
85016;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 13:4-5;O que Jesus fez pelos discípulos antes da última ceia?;Serviu-lhes vinho;Lavou-lhes os pés;Deu-lhes pão;Orou por eles em voz alta;1;;;;;;rascunho (IA)
85017;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 13:26;Como Jesus indicou quem o trairia, na última ceia?;Apontando com o dedo;Molhando o pão e dando-o a ele;Chamando-o pelo nome;Fazendo um sinal com a mão;1;;;;;;rascunho (IA)
85018;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 18:10;O que Pedro fez com sua espada no momento da prisão de Jesus?;Feriu um soldado romano;Cortou a orelha de Malco;Ameaçou os sacerdotes;Escondeu-se atrás dela;1;;;;;;rascunho (IA)
85019;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 19:2;O que os soldados colocaram na cabeça de Jesus para zombar dele?;Uma coroa de ouro;Uma coroa de espinhos;Um véu roxo;Um capacete de metal;1;;;;;;rascunho (IA)
85020;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 19:23;O que os soldados fizeram com as vestes de Jesus após a crucificação?;Queimaram-nas;Repartiram-nas entre si;Devolveram-nas a Maria;Guardaram-nas no templo;1;;;;;;rascunho (IA)
85021;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 19:30;O que Jesus disse antes de entregar o espírito na cruz, segundo João?;Pai, perdoa-lhes;Está consumado;Meu Deus, meu Deus, por que me desamparaste;Em tuas mãos entrego o meu espírito;1;;;;;;rascunho (IA)
85022;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 19:34;O que um soldado fez ao lado de Jesus na cruz, para confirmar sua morte?;Deu-lhe vinagre;Furou seu lado com uma lança;Cobriu seu rosto;Quebrou suas pernas;1;;;;;;rascunho (IA)
85023;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 20:1;Quem foi ao sepulcro de Jesus e o encontrou vazio, no primeiro dia da semana?;Pedro;Maria Madalena;João;Tomé;1;;;;;;rascunho (IA)
85024;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 20:16;Como Jesus se revelou a Maria Madalena junto ao sepulcro?;Mostrando as mãos feridas;Chamando-a pelo nome;Acendendo uma luz;Enviando um anjo;1;;;;;;rascunho (IA)
85025;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 20:24-25;Qual discípulo duvidou da ressurreição até ver as marcas dos pregos?;Pedro;João;Tomé;André;2;;;;;;rascunho (IA)
85026;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 20:28;O que Tomé disse ao ver e tocar Jesus ressuscitado?;Tu és o Cristo, o Filho de Deus;Senhor meu e Deus meu;Bendito o que vem em nome do Senhor;Verdadeiramente este é o Filho de Deus;1;;;;;;rascunho (IA)
85027;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 21:15-17;Quantas vezes Jesus perguntou a Pedro se ele o amava, junto ao mar?;Uma vez;Duas vezes;Três vezes;Sete vezes;2;;;;;;rascunho (IA)
85028;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 1:40;Quem era o irmão de Simão Pedro, também discípulo de Jesus?;Tiago;João;André;Filipe;2;;;;;;rascunho (IA)
85029;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 1:44;De que cidade eram André e Pedro, segundo João?;Cafarnaum;Betsaida;Nazaré;Caná;1;;;;;;rascunho (IA)
85030;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 6:68;O que Pedro respondeu quando Jesus perguntou se os doze também queriam ir embora?;Senhor, para quem iremos? Tu tens as palavras da vida eterna;Nunca te deixaremos, Senhor;Iremos aonde tu fores;Ficaremos até o fim dos tempos;0;;;;;;rascunho (IA)
85031;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 11:43;O que Jesus clamou em alta voz diante do túmulo de Lázaro?;Levanta-te e anda;Lázaro, sai para fora;Eu sou a ressurreição;Vem a mim;1;;;;;;rascunho (IA)
85032;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 21:3;O que Pedro disse fazer, depois da ressurreição de Jesus, antes de vê-lo na praia?;Vou orar no templo;Vou pescar;Vou para Jerusalém;Vou descansar;1;;;;;;rascunho (IA)
85033;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 1:36;O que João Batista disse ao ver Jesus passar, apontando-o aos discípulos?;Eis o Messias prometido;Eis o Cordeiro de Deus;Eis o Filho do Homem;Eis o Rei de Israel;1;;;;;;rascunho (IA)
85034;JOAO_COMPLETO;2026-08-22;IA (Claude);1;João;NT;;;Jo 12:13;Com que a multidão saiu ao encontro de Jesus na entrada triunfal em Jerusalém, segundo João?;Com espadas;Com ramos de palmeiras;Com tochas acesas;Com instrumentos musicais;1;;;;;;rascunho (IA)
85035;JOAO_COMPLETO;2026-08-22;IA (Claude);2;João;NT;;;Jo 1:1;Além de estar com Deus no princípio, o que mais João afirma sobre o Verbo?;Que era um anjo poderoso;Que era Deus;Que era um profeta;Que era o primeiro homem;1;;;;;;rascunho (IA)
85036;JOAO_COMPLETO;2026-08-22;IA (Claude);2;João;NT;;;Jo 1:12;O que João diz que Jesus deu aos que o receberam e creram em seu nome?;Riquezas do Reino;Poder de se tornarem filhos de Deus;Autoridade sobre os demônios;Sabedoria dos escribas;1;;;;;;rascunho (IA)
