"id","lote","data_lote","fonte","nivel","livro_biblico","testamento","categoria_ebd","ebd_versao","referencia","pergunta_pt","alternativa_pt_a","alternativa_pt_b","alternativa_pt_c","alternativa_pt_d","resposta_correta","pergunta_en","alternativa_en_a","alternativa_en_b","alternativa_en_c","alternativa_en_d","status_revisao"
"21000","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 1:39","Quem ungiu Salomão como rei, em Giom?","O sacerdote Zadoque","O profeta Natã","Benaia","Davi mesmo","0","","","","","","rascunho (IA)"
"21001","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 3:9","O que Salomão pediu a Deus, em vez de riquezas ou longa vida?","Fama entre as nações","Um coração entendido para julgar o povo","Vitória sobre os inimigos","Um grande exército","1","","","","","","rascunho (IA)"
"21002","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 3:16","Que disputa Salomão julgou sabiamente, envolvendo duas mulheres e um bebê?","Quem herdaria uma casa","Quem devia pagar uma dívida","Qual delas era a verdadeira mãe da criança viva","Quem era dona de um campo","2","","","","","","rascunho (IA)"
"21003","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 3:27","O que Salomão ordenou fazer com a criança, para descobrir a verdadeira mãe?","Que fosse entregue às duas","Que ficasse com os sacerdotes","Que fosse criada no palácio","Que fosse partida ao meio","3","","","","","","rascunho (IA)"
"21004","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 6:1","O que Salomão construiu, no quarto ano de seu reinado?","O templo do Senhor","O seu palácio","Os muros de Jerusalém","As cavalariças reais","0","","","","","","rascunho (IA)"
"21005","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 10:1","Que rainha veio visitar Salomão, atraída pela sua fama?","A rainha da Etiópia","A rainha de Sabá","A rainha de Sabá e do Egito","A rainha de Tiro","1","","","","","","rascunho (IA)"
"21006","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 11:3","Quantas esposas Salomão teve, segundo 1 Reis 11?","Mil","Trezentas","Setecentas princesas","Cem","2","","","","","","rascunho (IA)"
"21007","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 12:16","O que aconteceu ao reino de Israel, depois da morte de Salomão?","Foi destruído pelos egípcios","Foi anexado pela Assíria","Permaneceu unido","Dividiu-se em dois reinos","3","","","","","","rascunho (IA)"
"21008","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 12:20","Quem se tornou rei do reino do norte, chamado Israel?","Jeroboão","Roboão","Acabe","Baasa","0","","","","","","rascunho (IA)"
"21009","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 12:1","Quem era o filho de Salomão que se tornou rei de Judá?","Asa","Roboão","Jeroboão","Abias","1","","","","","","rascunho (IA)"
"21010","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 17:1","Qual profeta anunciou uma grande seca sobre Israel?","Isaías","Jeremias","Elias","Eliseu","2","","","","","","rascunho (IA)"
"21011","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 17:6","Que aves alimentavam Elias junto ao ribeiro de Querite?","Pombas","Águias","Andorinhas","Corvos","3","","","","","","rascunho (IA)"
"21012","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 17:16","O que aconteceu com a farinha e o azeite da viúva de Sarepta?","Nunca se acabaram, conforme a palavra do Senhor","Multiplicaram-se uma única vez","Foram roubados","Estragaram-se rapidamente","0","","","","","","rascunho (IA)"
"21013","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 17:22","O que Elias fez pelo filho da viúva de Sarepta, que morrera?","Abençoou-o antes de partir","Ressuscitou-o","Curou-o de uma doença","Profetizou sobre ele","1","","","","","","rascunho (IA)"
"21014","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 18:19","Contra quantos profetas de Baal Elias se confrontou no monte Carmelo?","Setenta","Duzentos","Quatrocentos e cinquenta","Cem","2","","","","","","rascunho (IA)"
"21015","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 18:38","O que aconteceu quando Elias orou sobre o seu sacrifício no Carmelo?","Uma chuva forte começou","Um terremoto sacudiu o monte","Uma nuvem cobriu o altar","Fogo do Senhor caiu e consumiu tudo","3","","","","","","rascunho (IA)"
"21016","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 19:8","Por quantos dias Elias caminhou até o monte Horebe, fortalecido por um alimento angélico?","Quarenta dias","Sete dias","Doze dias","Três dias","0","","","","","","rascunho (IA)"
"21017","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 19:12","Como o Senhor se manifestou a Elias no monte Horebe, depois do vento, do terremoto e do fogo?","Num sonho profundo","Numa voz mansa e delicada","Num grande trovão","Numa visão brilhante","1","","","","","","rascunho (IA)"
"21018","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 19:19","Quem Elias chamou para ser seu sucessor, lançando sobre ele o seu manto?","Obadias","Jonas","Eliseu","Geazi","2","","","","","","rascunho (IA)"
"21019","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 21:1","De quem era a vinha que Acabe cobiçava, gerando o conflito com Nabote?","De Jezabel","De Obadias","De Ben-Hadade","De Nabote","3","","","","","","rascunho (IA)"
"21020","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 21:15","O que aconteceu a Nabote, por não querer vender sua vinha a Acabe?","Foi apedrejado até a morte","Foi expulso da cidade","Foi preso injustamente","Perdeu apenas suas terras","0","","","","","","rascunho (IA)"
"21021","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 22:34","Como o rei Acabe morreu, ferido numa batalha contra os sírios?","De doença após a batalha","Por uma flecha disparada ao acaso","Por uma espada inimiga","Por uma queda de seu carro","1","","","","","","rascunho (IA)"
"21022","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 4:29","Que dom especial Deus deu a Salomão, além de riquezas?","Força física extraordinária","Poder militar invencível","Sabedoria muito grande","Longa vida","2","","","","","","rascunho (IA)"
"21023","1REIS_COMPLETO","2026-08-22","IA (Claude)","1","1 Reis","AT","","","1Rs 6:38","Em quantos anos o templo de Salomão foi concluído?","Quarenta anos","Vinte anos","Três anos","Sete anos","3","","","","","","rascunho (IA)"
