"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"49000";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Lamentações";"AT";"";"";"Lm 1:1";"Lamentações começa comparando Jerusalém, antes cheia de povo, a uma...";"Viúva solitária";"Rocha deserta";"Cidade em festa";"Fortaleza forte";"0";"";"";"";"";"";"rascunho (IA)"
"49001";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Lamentações";"AT";"";"";"Lm 1:2";"Jerusalém chora amargamente de noite, e não há quem a...";"Ouça";"Ajude";"Defenda";"Console";"3";"";"";"";"";"";"rascunho (IA)"
"49002";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Lamentações";"AT";"";"";"Lm 1:12";"Jerusalém pergunta aos que passam: acaso não vos toca isto? Vede se há dor como a...";"Dor do mundo";"Dor da terra";"Minha dor";"Dor de um povo";"2";"";"";"";"";"";"rascunho (IA)"
"49003";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Lamentações";"AT";"";"";"Lm 2:11";"Meus olhos desfalecem com lágrimas, por causa da ruína da filha do meu...";"Reino";"Rei";"Povo";"Templo";"2";"";"";"";"";"";"rascunho (IA)"
"49004";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Lamentações";"AT";"";"";"Lm 2:19";"Levanta-te, clama de noite, no princípio das vigias, derrama o teu coração como...";"Vinho";"Água diante do Senhor";"Chuva";"Rio";"1";"";"";"";"";"";"rascunho (IA)"
"49005";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Lamentações";"AT";"";"";"Lm 3:1";"O capítulo 3 de Lamentações começa com quem dizendo: eu sou o homem que viu a...";"Aflição";"Morte";"Destruição";"Guerra";"0";"";"";"";"";"";"rascunho (IA)"
"49006";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Lamentações";"AT";"";"";"Lm 3:22";"É por causa das misericórdias do Senhor que não somos consumidos, porque as suas misericórdias não têm...";"Limite";"Medida";"Fim";"Falha";"2";"";"";"";"";"";"rascunho (IA)"
"49007";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Lamentações";"AT";"";"";"Lm 3:23";"As misericórdias do Senhor se renovam cada...";"Momento";"Ano";"Manhã";"Dia";"2";"";"";"";"";"";"rascunho (IA)"
"49008";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Lamentações";"AT";"";"";"Lm 3:24";"O Senhor é a porção da minha alma, por isso...";"Nele esperarei";"O buscarei";"O louvarei";"O amarei";"0";"";"";"";"";"";"rascunho (IA)"
"49009";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Lamentações";"AT";"";"";"Lm 3:26";"Bom é esperar e aguardar em silêncio a...";"Palavra de Deus";"Justiça de Deus";"Misericórdia do Senhor";"Salvação do Senhor";"3";"";"";"";"";"";"rascunho (IA)"
"49010";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Lamentações";"AT";"";"";"Lm 4:1";"Como se escureceu o ouro! Como se mudou o ouro fino! As pedras do santuário estão espalhadas pelas...";"Praças";"Portas";"Ruas";"Esquinas";"2";"";"";"";"";"";"rascunho (IA)"
"49011";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Lamentações";"AT";"";"";"Lm 5:1";"O último capítulo de Lamentações começa pedindo: lembra-te, Senhor, do que nos tem...";"Afligido";"Sucedido";"Acontecido";"Sobrevindo";"3";"";"";"";"";"";"rascunho (IA)"
"49012";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Lamentações";"AT";"";"";"Lm 5:19";"Tu, Senhor, permaneces para sempre, e o teu trono, de geração em...";"Geração";"Sempre";"Eternidade";"Século em século";"0";"";"";"";"";"";"rascunho (IA)"
"49013";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Lamentações";"AT";"";"";"Lm 5:21";"Faze-nos voltar para ti, Senhor, e renova os nossos dias como nos tempos...";"De outrora";"Passados";"De antes";"Antigos";"0";"";"";"";"";"";"rascunho (IA)"
"49014";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Lamentações";"AT";"";"";"Lm 1:16";"Jerusalém chora, e seus olhos se desfazem em...";"Tristeza";"Dor";"Águas";"Lágrimas";"3";"";"";"";"";"";"rascunho (IA)"
"49015";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Lamentações";"AT";"";"";"Lm 1:4";"Os caminhos de Sião pranteiam, pois não há quem venha à festa, e seus sacerdotes...";"Se calam";"Choram";"Gemem";"Fogem";"2";"";"";"";"";"";"rascunho (IA)"
"49016";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Lamentações";"AT";"";"";"Lm 1:6";"Da filha de Sião se foi toda a formosura, seus príncipes ficaram como cervos que não acham...";"Água";"Pasto";"Abrigo";"Descanso";"1";"";"";"";"";"";"rascunho (IA)"
"49017";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Lamentações";"AT";"";"";"Lm 1:20";"Jerusalém clama: olha, Senhor, que estou angustiada, gravemente me...";"Feriram";"Castigaram";"Abandonaram";"Rebelei";"3";"";"";"";"";"";"rascunho (IA)"
"49018";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Lamentações";"AT";"";"";"Lm 2:6";"O Senhor destruiu o lugar de sua congregação, fez esquecer em Sião a festa solene e o...";"Templo";"Altar";"Sábado";"Sacrifício";"2";"";"";"";"";"";"rascunho (IA)"
"49019";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Lamentações";"AT";"";"";"Lm 2:9";"As portas de Sião se afundaram, o rei e os príncipes estão entre as nações, já não há...";"Templo";"Esperança";"Lei, nem os seus profetas alcançam mais visão do Senhor";"Reino";"2";"";"";"";"";"";"rascunho (IA)"
"49020";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Lamentações";"AT";"";"";"Lm 2:15";"Os que passam dizem: é esta a cidade que chamavam a perfeição da...";"Formosura";"Beleza";"Glória";"Alegria";"0";"";"";"";"";"";"rascunho (IA)"
"49021";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Lamentações";"AT";"";"";"Lm 2:20";"Jerusalém pergunta: acaso comeriam as mulheres o fruto do seu ventre, as crianças que trazem nos...";"Colos";"Ombros";"Peitos";"Braços";"0";"";"";"";"";"";"rascunho (IA)"
"49022";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Lamentações";"AT";"";"";"Lm 3:8";"Ainda quando clamo e grito por socorro, Deus fecha o caminho à minha...";"Alma";"Súplica";"Voz";"Oração";"3";"";"";"";"";"";"rascunho (IA)"
"49023";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Lamentações";"AT";"";"";"Lm 3:19";"Lembra-te da minha aflição e do meu pranto, do absinto e do...";"Sofrimento";"Fel";"Amargor";"Veneno";"1";"";"";"";"";"";"rascunho (IA)"
"49024";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Lamentações";"AT";"";"";"Lm 3:33";"Porque Deus não aflige de bom grado, nem entristece de...";"Coração os filhos dos homens";"Coração o seu povo";"Vontade";"Propósito";"0";"";"";"";"";"";"rascunho (IA)"
"49025";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Lamentações";"AT";"";"";"Lm 3:40";"Esquadrinhemos os nossos caminhos, provemo-los, e voltemo-nos para o...";"Templo";"Bem";"Certo";"Senhor";"3";"";"";"";"";"";"rascunho (IA)"
"49026";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Lamentações";"AT";"";"";"Lm 4:2";"Os preciosos filhos de Sião, comparáveis a fino ouro, como são agora estimados por vasos de...";"Ferro";"Pedra";"Barro";"Bronze";"2";"";"";"";"";"";"rascunho (IA)"
"49027";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Lamentações";"AT";"";"";"Lm 4:9";"Mais felizes foram os mortos à espada do que os mortos à...";"Sede";"Guerra";"Fome";"Peste";"2";"";"";"";"";"";"rascunho (IA)"
"49028";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Lamentações";"AT";"";"";"Lm 5:2";"A nossa herança passou a...";"Inimigos";"Estranhos, e as nossas casas a forasteiros";"Estrangeiros";"Assírios";"1";"";"";"";"";"";"rascunho (IA)"
"49029";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Lamentações";"AT";"";"";"Lm 5:7";"Nossos pais pecaram, e já não existem, e nós levamos as suas...";"Iniquidades";"Dores";"Punições";"Culpas";"0";"";"";"";"";"";"rascunho (IA)"
"49030";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"3";"Lamentações";"AT";"";"";"Lm 1:3";"Judá foi ao cativeiro, e seus perseguidores a alcançaram entre as...";"Aflições";"Fronteiras";"Nações";"Angústias";"0";"";"";"";"";"";"rascunho (IA)"
"49031";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"3";"Lamentações";"AT";"";"";"Lm 1:8";"Jerusalém pecou, foi desprezada, porque viram a sua...";"Miséria";"Vergonha";"Nudez";"Ruína";"2";"";"";"";"";"";"rascunho (IA)"
"49032";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"3";"Lamentações";"AT";"";"";"Lm 1:14";"O Senhor entregou-me nas mãos daqueles a quem não posso...";"Vencer";"Resistir";"Fugir";"Escapar";"1";"";"";"";"";"";"rascunho (IA)"
"49033";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"3";"Lamentações";"AT";"";"";"Lm 2:1";"Como cobriu o Senhor de nuvens a filha de Sião no dia da sua...";"Vingança";"Fúria";"Justiça";"Ira";"3";"";"";"";"";"";"rascunho (IA)"
"49034";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"3";"Lamentações";"AT";"";"";"Lm 2:13";"Que testemunho te darei? A que te compararei, filha de Jerusalém? Quem te curará? Porque grande como o mar é a tua...";"Destruição";"Dor";"Ruína";"Ferida";"3";"";"";"";"";"";"rascunho (IA)"
"49035";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"3";"Lamentações";"AT";"";"";"Lm 3:14";"Fui feito objeto de escárnio a todo o meu povo, e a sua canção o dia todo, sendo eu motivo de...";"Chacota";"Zombaria";"Riso";"Vergonha";"1";"";"";"";"";"";"rascunho (IA)"
"49036";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"3";"Lamentações";"AT";"";"";"Lm 3:27";"Bom é para o homem levar o jugo na sua...";"Vida";"Mocidade";"Juventude";"Idade";"1";"";"";"";"";"";"rascunho (IA)"
"49037";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"3";"Lamentações";"AT";"";"";"Lm 3:44";"Tu te cobriste de nuvem, para que não passasse a...";"Súplica";"Voz";"Palavra";"Oração";"3";"";"";"";"";"";"rascunho (IA)"
"49038";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"3";"Lamentações";"AT";"";"";"Lm 3:57";"No dia em que te invoquei, chegaste-te a mim, e disseste: não...";"Chores";"Fujas";"Temas";"Temas, ou não te desesperes";"3";"";"";"";"";"";"rascunho (IA)"
"49039";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"3";"Lamentações";"AT";"";"";"Lm 4:6";"Maior é a maldade da filha do meu povo do que o pecado de Sodoma, que foi subvertida como num...";"Piscar de olhos";"Instante";"Momento, sem que mãos se levantassem contra ela";"Segundo";"2";"";"";"";"";"";"rascunho (IA)"
"49040";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"3";"Lamentações";"AT";"";"";"Lm 4:11";"O Senhor cumpriu o seu furor, derramou o ardor da sua ira, e acendeu fogo em Sião, que consumiu os seus...";"Fundamentos";"Muros";"Palácios";"Templos";"0";"";"";"";"";"";"rascunho (IA)"
"49041";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"3";"Lamentações";"AT";"";"";"Lm 4:20";"O ungido do Senhor foi preso, dele dizíamos: à sua sombra viveremos entre as...";"Gentios";"Nações estrangeiras";"Terras";"Nações";"3";"";"";"";"";"";"rascunho (IA)"
"49042";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"3";"Lamentações";"AT";"";"";"Lm 5:11";"Forçaram as mulheres em Sião, as virgens nas cidades de...";"Efraim";"Samaria";"Israel";"Judá";"3";"";"";"";"";"";"rascunho (IA)"
"49043";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"3";"Lamentações";"AT";"";"";"Lm 5:14";"Os anciãos já não se assentam mais nas...";"Reuniões";"Praças";"Portas, os jovens já não tangem instrumentos";"Assembleias";"2";"";"";"";"";"";"rascunho (IA)"
"49044";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"3";"Lamentações";"AT";"";"";"Lm 5:22";"Lamentações termina com uma nota de incerteza: mas de todo nos rejeitaste? Te iraste contra nós...";"Sem limites?";"Excessivamente?";"Sobremaneira?";"Para sempre?";"2";"";"";"";"";"";"rascunho (IA)"
"49045";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"4";"Lamentações";"AT";"";"";"Lm 1:10";"O adversário entrou no santuário, nações que ordenaste não entrarem na tua...";"Cidade";"Terra";"Aliança";"Congregação";"3";"";"";"";"";"";"rascunho (IA)"
"49046";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"4";"Lamentações";"AT";"";"";"Lm 1:15";"O Senhor pisou como em um lagar a virgem filha de...";"Sião";"Jerusalém";"Israel";"Judá";"3";"";"";"";"";"";"rascunho (IA)"
"49047";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"4";"Lamentações";"AT";"";"";"Lm 1:21";"Meus inimigos se alegraram, mas farás vir o dia anunciado, e serão como eu, contigo...";"Sofrerão";"Iguais";"Serão";"Ficarão";"2";"";"";"";"";"";"rascunho (IA)"
"49048";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"4";"Lamentações";"AT";"";"";"Lm 2:4";"O Senhor armou o arco como inimigo, derramou sua indignação como...";"Chuva";"Fogo";"Água";"Vinho";"1";"";"";"";"";"";"rascunho (IA)"
"49049";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"4";"Lamentações";"AT";"";"";"Lm 2:17";"O Senhor cumpriu sua palavra, alegrou o inimigo, exaltou o poder dos teus...";"Inimigos";"Opressores";"Rivais";"Adversários";"0";"";"";"";"";"";"rascunho (IA)"
"49050";"LAMENTACOES_COMPLETO";"2026-09-02";"IA (Claude)";"4";"Lamentações";"AT";"";"";"Lm 2:22";"No dia da ira do Senhor não houve quem escapasse nem...";"Sobrevivesse";"Permanecesse";"Ficasse";"Restasse";"3";"";"";"";"";"";"rascunho (IA)"
