"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"200000";"GERAL_BIBLIA";"2026-09-02";"IA (Claude)";"1";"Geral";"Geral";"";"";"Geral";"Quantos livros tem a Bíblia completa?";"39";"27";"66";"73";"2";"";"";"";"";"";"rascunho (IA)"
"200001";"GERAL_BIBLIA";"2026-09-02";"IA (Claude)";"1";"Geral";"Geral";"";"";"Geral";"Quantos livros tem o Antigo Testamento?";"39";"46";"66";"27";"0";"";"";"";"";"";"rascunho (IA)"
"200002";"GERAL_BIBLIA";"2026-09-02";"IA (Claude)";"1";"Geral";"Geral";"";"";"Geral";"Quantos livros tem o Novo Testamento?";"27";"39";"12";"21";"0";"";"";"";"";"";"rascunho (IA)"
"200003";"GERAL_BIBLIA";"2026-09-02";"IA (Claude)";"1";"Geral";"Geral";"";"";"Geral";"Qual é o primeiro livro da Bíblia?";"Mateus";"Êxodo";"Gênesis";"Salmos";"2";"";"";"";"";"";"rascunho (IA)"
"200004";"GERAL_BIBLIA";"2026-09-02";"IA (Claude)";"1";"Geral";"Geral";"";"";"Geral";"Qual é o último livro da Bíblia?";"Judas";"Apocalipse";"Malaquias";"João";"1";"";"";"";"";"";"rascunho (IA)"
"200005";"GERAL_BIBLIA";"2026-09-02";"IA (Claude)";"1";"Geral";"Geral";"";"";"Geral";"Em quantos dias Deus criou o mundo, descansando no sétimo?";"Cinco";"Seis";"Sete";"Três";"1";"";"";"";"";"";"rascunho (IA)"
"200006";"GERAL_BIBLIA";"2026-09-02";"IA (Claude)";"1";"Geral";"Geral";"";"";"Geral";"Quantos mandamentos Deus entregou a Moisés nas tábuas?";"Dez";"Doze";"Cinco";"Sete";"0";"";"";"";"";"";"rascunho (IA)"
"200007";"GERAL_BIBLIA";"2026-09-02";"IA (Claude)";"1";"Geral";"Geral";"";"";"Geral";"Quantos apóstolos Jesus escolheu para andar com ele?";"Setenta";"Sete";"Dez";"Doze";"3";"";"";"";"";"";"rascunho (IA)"
"200008";"GERAL_BIBLIA";"2026-09-02";"IA (Claude)";"1";"Geral";"Geral";"";"";"Geral";"Quantas eram as tribos de Israel?";"Sete";"Dez";"Doze";"Vinte";"2";"";"";"";"";"";"rascunho (IA)"
"200009";"GERAL_BIBLIA";"2026-09-02";"IA (Claude)";"1";"Geral";"Geral";"";"";"Geral";"Quem construiu a arca para escapar do dilúvio?";"Noé";"Moisés";"Jó";"Abraão";"0";"";"";"";"";"";"rascunho (IA)"
