"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"57000";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Joel";"AT";"";"";"Jl 1:4";"O que aconteceu à colheita, segundo a sequência de pragas descrita no início de Joel?";"Foi devorada, em sequência, por diferentes tipos de gafanhotos";"Foi queimada por um incêndio no campo";"Foi roubada por uma nação vizinha";"Foi destruída por uma grande enchente";"0";"";"";"";"";"";"rascunho (IA)"
"57001";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Joel";"AT";"";"";"Jl 1:6";"Como Joel descreve a nação poderosa que subiu sobre a terra, comparando seus dentes?";"Presas de lobo";"Dentes de leão";"Garras de águia";"Chifres de touro";"1";"";"";"";"";"";"rascunho (IA)"
"57002";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Joel";"AT";"";"";"Jl 1:8";"A que Joel compara o lamento da terra, no capítulo 1?";"A um rei deposto do seu trono";"A um exército derrotado em fuga";"A uma virgem vestida de saco, chorando pelo marido da mocidade";"A um pastor que perdeu o rebanho";"2";"";"";"";"";"";"rascunho (IA)"
"57003";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Joel";"AT";"";"";"Jl 1:15";"Que expressão Joel usa para lamentar a proximidade do julgamento, no capítulo 1?";"Ai de mim, pecador!";"Fujamos depressa!";"Chorai, ó filhos!";"Ah! Aquele dia!";"3";"";"";"";"";"";"rascunho (IA)"
"57004";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Joel";"AT";"";"";"Jl 2:1";"O que Joel ordena que se toque em Sião, para alertar o povo?";"A buzina";"Os tambores";"Os sinos do templo";"As trombetas de prata";"0";"";"";"";"";"";"rascunho (IA)"
"57005";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Joel";"AT";"";"";"Jl 2:10";"O que acontece ao sol, à lua e às estrelas, diante do exército descrito em Joel 2?";"Brilham com força redobrada";"Enegrecem-se e perdem o seu resplendor";"Desaparecem completamente do céu";"Mudam de cor para vermelho";"1";"";"";"";"";"";"rascunho (IA)"
"57006";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Joel";"AT";"";"";"Jl 2:13";"O que o Senhor pede que o povo rasgue, ao invés das vestes, em Joel 2:13?";"O véu do templo";"As cortinas da tenda";"O coração";"Os mantos sacerdotais";"2";"";"";"";"";"";"rascunho (IA)"
"57007";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Joel";"AT";"";"";"Jl 2:21-22";"O que Joel anuncia aos animais do campo e à terra, depois do arrependimento do povo?";"Que fujam para as montanhas";"Que se escondam até o inverno";"Que aguardem um novo jejum";"Que não temam, pois os pastos reverdecerão";"3";"";"";"";"";"";"rascunho (IA)"
"57008";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Joel";"AT";"";"";"Jl 2:23";"Que tipo de chuva Deus promete enviar aos filhos de Sião, em Joel 2:23?";"A temporã e a serôdia";"Apenas a chuva de granizo";"Uma chuva de fogo";"Nenhuma chuva, só orvalho";"0";"";"";"";"";"";"rascunho (IA)"
"57009";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Joel";"AT";"";"";"Jl 2:25";"O que Deus promete restituir ao povo, depois da devastação causada pelos gafanhotos?";"As casas que foram destruídas";"Os anos que foram consumidos";"Os filhos que morreram";"Os templos que foram profanados";"1";"";"";"";"";"";"rascunho (IA)"
"57010";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Joel";"AT";"";"";"Jl 2:28";"O que Deus promete derramar sobre toda a carne, em uma das profecias mais famosas de Joel?";"O seu fogo";"A sua ira";"O seu Espírito";"O seu ouro";"2";"";"";"";"";"";"rascunho (IA)"
"57011";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Joel";"AT";"";"";"Jl 2:32";"O que acontecerá a todo aquele que invocar o nome do Senhor, segundo Joel 2:32?";"Se tornará profeta";"Receberá riquezas";"Governará Jerusalém";"Será salvo";"3";"";"";"";"";"";"rascunho (IA)"
"57012";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Joel";"AT";"";"";"Jl 3:10";"O que Joel 3 ordena que se forje das enxadas, para a batalha entre as nações?";"Espadas";"Escudos";"Carros de guerra";"Capacetes";"0";"";"";"";"";"";"rascunho (IA)"
"57013";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Joel";"AT";"";"";"Jl 3:13";"Por que Joel ordena que se lance a foice, no capítulo 3?";"Porque o inverno está chegando";"Porque a seara já está madura";"Porque os inimigos já fugiram";"Porque o rei ordenou a colheita";"1";"";"";"";"";"";"rascunho (IA)"
"57014";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Joel";"AT";"";"";"Jl 3:18";"De onde Joel profetiza que sairá uma fonte para regar o vale de Sitim?";"Do monte Sinai";"Do rio Jordão";"Da Casa do Senhor";"Do deserto da Judeia";"2";"";"";"";"";"";"rascunho (IA)"
"57015";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Joel";"AT";"";"";"Jl 1:1";"Joel é apresentado no início do livro como filho de quem?";"Amitai";"Baraquias";"Beeri";"Petuel";"3";"";"";"";"";"";"rascunho (IA)"
"57016";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Joel";"AT";"";"";"Jl 1:5";"O que Joel manda os ébrios fazerem, por causa do mosto que foi tirado de sua boca?";"Despertar e chorar";"Dormir mais profundamente";"Cantar em festa";"Fugir para as montanhas";"0";"";"";"";"";"";"rascunho (IA)"
"57017";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Joel";"AT";"";"";"Jl 1:9";"O que foi cortado da Casa do Senhor, deixando os sacerdotes entristecidos?";"As vestes sacerdotais";"A oferta de manjar e a libação";"Os utensílios de ouro";"As orações da manhã";"1";"";"";"";"";"";"rascunho (IA)"
"57018";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Joel";"AT";"";"";"Jl 1:13";"Como Joel manda os sacerdotes se vestirem, ao lamentar a devastação?";"De vestes brancas de festa";"De mantos de púrpura";"De panos de saco";"De armaduras de guerra";"2";"";"";"";"";"";"rascunho (IA)"
"57019";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Joel";"AT";"";"";"Jl 1:14";"O que Joel manda proclamar, convocando os anciãos e todos os moradores da terra?";"Uma festa de colheita";"Uma guerra contra os vizinhos";"Uma eleição de novos sacerdotes";"Um jejum e uma assembleia solene";"3";"";"";"";"";"";"rascunho (IA)"
"57020";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Joel";"AT";"";"";"Jl 2:2";"Como Joel descreve o povo grande e poderoso que vem no dia do Senhor, comparando-o ao passado?";"Como nunca houve antes, nem haverá depois";"Como uma repetição exata da praga anterior";"Como um exército menor que o de outros povos";"Como algo já visto muitas vezes na história";"0";"";"";"";"";"";"rascunho (IA)"
"57021";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Joel";"AT";"";"";"Jl 2:11";"Que pergunta retórica Joel faz sobre a intensidade do dia do Senhor, no capítulo 2?";"Quem ousará se opor?";"Quem o poderá sofrer?";"Quem sobreviverá à noite?";"Quem contará a história?";"1";"";"";"";"";"";"rascunho (IA)"
"57022";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Joel";"AT";"";"";"Jl 2:12";"Com que atitudes o Senhor pede que o povo se converta a ele, em Joel 2:12?";"Com sacrifícios de animais";"Com ofertas de ouro e prata";"Com jejuns, choro e pranto";"Com longas peregrinações";"2";"";"";"";"";"";"rascunho (IA)"
"57023";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Joel";"AT";"";"";"Jl 2:16";"Além dos anciãos, quem mais Joel manda congregar para o jejum solene?";"Apenas os soldados do exército";"Apenas os sacerdotes do templo";"Apenas os estrangeiros residentes";"Os filhinhos e os que mamam, o noivo e a noiva";"3";"";"";"";"";"";"rascunho (IA)"
"57024";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Joel";"AT";"";"";"Jl 2:17";"Onde os sacerdotes devem chorar e suplicar, segundo Joel 2:17?";"Entre o alpendre e o altar";"No topo do monte Sião";"Nas portas da cidade";"Junto ao rio Jordão";"0";"";"";"";"";"";"rascunho (IA)"
"57025";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Joel";"AT";"";"";"Jl 2:19";"O que o Senhor promete enviar ao seu povo, como resposta à sua compaixão?";"Ouro, prata e pedras preciosas";"Trigo, mosto e óleo";"Exércitos e cavalos";"Novos profetas e sacerdotes";"1";"";"";"";"";"";"rascunho (IA)"
"57026";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Joel";"AT";"";"";"Jl 2:20";"Para onde Deus promete afastar aquele que vem do Norte, em Joel 2:20?";"Para o meio do mar Mediterrâneo";"Para as montanhas do Líbano";"Para uma terra seca e deserta";"Para o deserto do Egito";"2";"";"";"";"";"";"rascunho (IA)"
"57027";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Joel";"AT";"";"";"Jl 2:31";"O que acontecerá ao sol e à lua antes do grande e terrível dia do Senhor, em Joel 2:31?";"O sol brilhará com força redobrada";"A lua desaparecerá para sempre";"O sol e a lua trocarão de posição";"O sol se converterá em trevas, e a lua, em sangue";"3";"";"";"";"";"";"rascunho (IA)"
"57028";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Joel";"AT";"";"";"Jl 3:2";"Para qual vale Deus promete fazer descer todas as nações, para julgá-las?";"O vale de Josafá";"O vale de Sitim";"O vale de Refaim";"O vale do Cedrom";"0";"";"";"";"";"";"rascunho (IA)"
"57029";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Joel";"AT";"";"";"Jl 3:17";"O que Joel promete sobre Jerusalém, no versículo final relacionado à santidade da cidade?";"Que será reconstruída por estrangeiros";"Que será santidade, e estranhos não passarão mais por ela";"Que perderá seu nome antigo";"Que será dividida entre as nações";"1";"";"";"";"";"";"rascunho (IA)"
"57030";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"3";"Joel";"AT";"";"";"Jl 1:3";"O que Joel manda o povo fazer com a história da praga, de geração em geração?";"Esquecer completamente o ocorrido";"Registrar apenas nos arquivos do templo";"Contar aos filhos, e estes a seus próprios filhos";"Cantar apenas nas festas anuais";"2";"";"";"";"";"";"rascunho (IA)"
"57031";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"3";"Joel";"AT";"";"";"Jl 1:7";"O que a nação invasora fez à vide e à figueira de Joel 1:7?";"Plantou novas vinhas em seu lugar";"Poupou apenas as figueiras mais velhas";"Vendeu a colheita para outra nação";"Fez da vide uma assolação e tirou a casca da figueira";"3";"";"";"";"";"";"rascunho (IA)"
"57032";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"3";"Joel";"AT";"";"";"Jl 1:10";"Além do trigo destruído, o que mais faltou no campo assolado, segundo Joel 1:10?";"O mosto se secou, e o óleo faltou";"A água dos poços se esgotou";"Os rebanhos de ovelhas desapareceram";"As sementes de cevada sumiram";"0";"";"";"";"";"";"rascunho (IA)"
"57033";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"3";"Joel";"AT";"";"";"Jl 1:12";"Além da vide e da figueira, quais outras árvores Joel cita como secas, no capítulo 1?";"O cedro, o carvalho e o pinheiro";"A romeira, a palmeira e a macieira";"A oliveira, a amendoeira e o loureiro";"O sicômoro, a murta e a acácia";"1";"";"";"";"";"";"rascunho (IA)"
"57034";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"3";"Joel";"AT";"";"";"Jl 1:17";"O que aconteceu à semente debaixo dos torrões, segundo Joel 1:17?";"Germinou antes do tempo";"Foi levada pelo vento";"Apodreceu";"Multiplicou-se sozinha";"2";"";"";"";"";"";"rascunho (IA)"
"57035";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"3";"Joel";"AT";"";"";"Jl 1:18";"Como Joel descreve a reação do gado, por causa da falta de pasto, em Joel 1:18?";"Foge para outras terras";"Ataca os pastores com fúria";"Permanece calmo e resignado";"Geme, e as manadas ficam confusas";"3";"";"";"";"";"";"rascunho (IA)"
"57036";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"3";"Joel";"AT";"";"";"Jl 2:3";"A que Joel compara a terra diante e atrás do exército descrito no capítulo 2?";"Como o jardim do Éden diante, e um deserto atrás";"Como um mar calmo diante, e uma tempestade atrás";"Como uma cidade próspera diante, e ruínas atrás";"Como um vale fértil diante, e um monte atrás";"0";"";"";"";"";"";"rascunho (IA)"
"57037";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"3";"Joel";"AT";"";"";"Jl 2:7-8";"Como o exército descrito em Joel 2 avança, quanto à disciplina de suas fileiras?";"Avança em completa desordem, sem formação";"Não se desvia da fileira, e ninguém aperta o irmão";"Divide-se em pequenos grupos dispersos";"Para constantemente para descansar";"1";"";"";"";"";"";"rascunho (IA)"
"57038";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"3";"Joel";"AT";"";"";"Jl 2:9";"Como o exército descrito em Joel 2 entra nas casas da cidade, segundo o versículo 9?";"Pela porta principal, anunciado";"Pelos telhados, à luz do dia";"Como o ladrão, pelas janelas";"Escavando túneis sob os muros";"2";"";"";"";"";"";"rascunho (IA)"
"57039";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"3";"Joel";"AT";"";"";"Jl 2:14";"Que expressão o povo usa, mostrando incerteza sobre a resposta de Deus, em Joel 2:14?";"Certamente Deus nos abençoará";"Deus já revelou que nos perdoará";"Não há esperança de bênção alguma";"Quem sabe se se voltará, e deixará uma bênção";"3";"";"";"";"";"";"rascunho (IA)"
"57040";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"3";"Joel";"AT";"";"";"Jl 2:24";"O que encherá as eiras e os lagares, segundo a promessa de restauração de Joel 2:24?";"Trigo, mosto e óleo, em abundância";"Ouro e prata, trazidos das nações";"Rebanhos de ovelhas e cabras";"Armas e provisões de guerra";"0";"";"";"";"";"";"rascunho (IA)"
"57041";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"3";"Joel";"AT";"";"";"Jl 2:27";"O que o povo saberá, depois de ser saciado, segundo Joel 2:27?";"Que o Senhor partiu para sempre";"Que o Senhor está no meio de Israel";"Que outro deus os salvou";"Que a praga voltará em breve";"1";"";"";"";"";"";"rascunho (IA)"
"57042";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"3";"Joel";"AT";"";"";"Jl 3:3";"O que os inimigos fizeram com um menino e uma menina, segundo a acusação de Joel 3:3?";"Adotaram-nos como próprios filhos";"Devolveram-nos às famílias de Judá";"Deram um por uma meretriz e venderam a outra por vinho";"Ensinaram-lhes a língua dos gregos";"2";"";"";"";"";"";"rascunho (IA)"
"57043";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"3";"Joel";"AT";"";"";"Jl 3:6";"Para quem os filhos de Judá e Jerusalém foram vendidos, segundo Joel 3:6?";"Para os filhos do Egito";"Para os filhos da Assíria";"Para os filhos de Edom";"Para os filhos dos gregos";"3";"";"";"";"";"";"rascunho (IA)"
"57044";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"3";"Joel";"AT";"";"";"Jl 3:19";"O que Joel profetiza que acontecerá ao Egito e a Edom, por causa da violência contra Judá?";"O Egito se tornará assolação, e Edom, um deserto";"Ambos se tornarão aliados de Judá";"Ambos enviarão tributo a Jerusalém";"Ambos serão poupados do julgamento";"0";"";"";"";"";"";"rascunho (IA)"
"57045";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"4";"Joel";"AT";"";"";"Jl 1:4";"Qual é a ordem exata dos quatro insetos que devoraram a colheita, segundo Joel 1:4?";"Pulgão, locusta, gafanhoto e lagarta";"Lagarta, gafanhoto, locusta e pulgão";"Gafanhoto, lagarta, pulgão e locusta";"Locusta, pulgão, lagarta e gafanhoto";"1";"";"";"";"";"";"rascunho (IA)"
"57046";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"4";"Joel";"AT";"";"";"Jl 1:9";"Como Joel 1:9 descreve os sacerdotes, além de dizer que estão entristecidos?";"Guardiões do povo";"Filhos de Levi";"Servos do Senhor";"Anciãos da cidade";"2";"";"";"";"";"";"rascunho (IA)"
"57047";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"4";"Joel";"AT";"";"";"Jl 1:19-20";"Além de clamar ao Senhor, o que Joel diz que os animais do campo fazem, no fim do capítulo 1?";"Fogem para as montanhas vizinhas";"Param de se reproduzir";"Atacam os rebanhos vizinhos";"Bramam a ele, por causa dos rios secos";"3";"";"";"";"";"";"rascunho (IA)"
"57048";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"4";"Joel";"AT";"";"";"Jl 2:4-5";"A que Joel compara o parecer e o estrondo do exército, no capítulo 2?";"Ao parecer de cavalos e ao estrondo de carros sobre os montes";"Ao rugido de leões e ao bater de asas de águias";"Ao som de trombetas e ao rufar de tambores";"Ao silvo de serpentes e ao zumbido de abelhas";"0";"";"";"";"";"";"rascunho (IA)"
"57049";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"4";"Joel";"AT";"";"";"Jl 2:6";"Como Joel descreve os rostos dos povos diante do exército que se aproxima?";"Como a palidez da lua cheia";"Como a tisnadura da panela";"Como a vermelhidão do fogo";"Como a brancura da neve";"1";"";"";"";"";"";"rascunho (IA)"
"57050";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"4";"Joel";"AT";"";"";"Jl 2:16";"Que par de noivos Joel menciona especificamente, ao convocar toda a congregação para o jejum?";"O rei e a rainha, que saem do palácio";"O sacerdote e sua esposa, que saem do templo";"O noivo, que sai da recâmara, e a noiva, do seu tálamo";"O profeta e sua família, que saem da cidade";"2";"";"";"";"";"";"rascunho (IA)"
"57051";"JOEL_COMPLETO";"2026-08-31";"IA (Claude)";"4";"Joel";"AT";"";"";"Jl 2:20";"Para onde Joel diz que ficará a frente e a retaguarda daquele que vem do Norte?";"Frente para o Egito, retaguarda para a Assíria";"Frente para Jerusalém, retaguarda para Damasco";"Frente para o deserto, retaguarda para o Líbano";"Frente para o mar oriental, retaguarda para o ocidental";"3";"";"";"";"";"";"rascunho (IA)"
