"id","lote","data_lote","fonte","nivel","livro_biblico","testamento","categoria_ebd","ebd_versao","referencia","pergunta_pt","alternativa_pt_a","alternativa_pt_b","alternativa_pt_c","alternativa_pt_d","resposta_correta","pergunta_en","alternativa_en_a","alternativa_en_b","alternativa_en_c","alternativa_en_d","status_revisao"
"79000","MATEUS_COMPLETO","2026-08-22","IA (Claude)","1","Mateus","NT","","","Mt 2:1","Em que cidade Jesus nasceu?","Nazaré","Belém","Jerusalém","Cafarnaum","1","","","","","","rascunho (IA)"
"79001","MATEUS_COMPLETO","2026-08-22","IA (Claude)","1","Mateus","NT","","","Mt 3:13","Quem batizou Jesus no rio Jordão?","João Batista","Pedro","André","Tiago","0","","","","","","rascunho (IA)"
"79002","MATEUS_COMPLETO","2026-08-22","IA (Claude)","1","Mateus","NT","","","Mt 1:18","Qual era o nome da mãe de Jesus?","Marta","Isabel","Maria","Ana","2","","","","","","rascunho (IA)"
"79003","MATEUS_COMPLETO","2026-08-22","IA (Claude)","1","Mateus","NT","","","Mt 2:1-2","Quem veio do Oriente guiado por uma estrela até Jesus?","Os pastores","Os sacerdotes","Os soldados","Os magos","3","","","","","","rascunho (IA)"
"79004","MATEUS_COMPLETO","2026-08-22","IA (Claude)","1","Mateus","NT","","","Mt 2:16","Qual rei mandou matar os meninos de Belém?","Herodes","Faraó","Pilatos","Nabucodonosor","0","","","","","","rascunho (IA)"
"79005","MATEUS_COMPLETO","2026-08-22","IA (Claude)","1","Mateus","NT","","","Mt 4:2","Quantos dias Jesus jejuou no deserto?","Trinta","Quarenta","Sete","Doze","1","","","","","","rascunho (IA)"
"79006","MATEUS_COMPLETO","2026-08-22","IA (Claude)","1","Mateus","NT","","","Mt 4:18","Qual era a profissão de Pedro e André quando Jesus os chamou?","Carpinteiros","Pastores","Pescadores","Lavradores","2","","","","","","rascunho (IA)"
"79007","MATEUS_COMPLETO","2026-08-22","IA (Claude)","1","Mateus","NT","","","Mt 14:17","Com quantos pães Jesus alimentou os cinco mil?","Sete","Doze","Dois","Cinco","3","","","","","","rascunho (IA)"
"79008","MATEUS_COMPLETO","2026-08-22","IA (Claude)","1","Mateus","NT","","","Mt 14:17","Quantos peixes havia além dos pães na alimentação dos cinco mil?","Dois","Cinco","Sete","Três","0","","","","","","rascunho (IA)"
"79009","MATEUS_COMPLETO","2026-08-22","IA (Claude)","1","Mateus","NT","","","Mt 14:25","Sobre o que Jesus andou ao ir até os discípulos de madrugada?","Sobre o mar","Sobre a areia","Sobre as pedras","Sobre o monte","0","","","","","","rascunho (IA)"
"79010","MATEUS_COMPLETO","2026-08-22","IA (Claude)","1","Mateus","NT","","","Mt 14:29","Qual discípulo andou sobre as águas ao chamado de Jesus?","João","Pedro","Tiago","André","1","","","","","","rascunho (IA)"
"79011","MATEUS_COMPLETO","2026-08-22","IA (Claude)","1","Mateus","NT","","","Mt 10:1","Quantos discípulos Jesus escolheu como apóstolos?","Sete","Dez","Doze","Setenta","2","","","","","","rascunho (IA)"
"79012","MATEUS_COMPLETO","2026-08-22","IA (Claude)","1","Mateus","NT","","","Mt 9:9","Qual era a profissão de Mateus quando Jesus o chamou?","Pescador","Carpinteiro","Pastor","Cobrador de impostos","3","","","","","","rascunho (IA)"
"79013","MATEUS_COMPLETO","2026-08-22","IA (Claude)","1","Mateus","NT","","","Mt 8:26","O que Jesus repreendeu para cessar a tempestade no mar?","O vento e o mar","O fogo","O granizo","O terremoto","0","","","","","","rascunho (IA)"
