"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"67000";"NAUM_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Naum";"AT";"";"";"Na 1:15";"O que Naum anuncia que os pés sobre os montes estão trazendo, no fim do capítulo 1?";"Boas-novas e paz";"Um novo rei";"Uma praga";"Um tesouro";"0";"";"";"";"";"";"rascunho (IA)"
"67001";"NAUM_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Naum";"AT";"";"";"Na 2:1";"O que Naum anuncia que já está diante de Nínive, no início do capítulo 2?";"Um profeta";"O destruidor";"Um rio transbordante";"Uma caravana";"1";"";"";"";"";"";"rascunho (IA)"
"67002";"NAUM_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Naum";"AT";"";"";"Na 3:1";"Como Naum chama Nínive, no início do capítulo 3?";"A cidade sagrada";"A cidade dos jardins";"A cidade ensanguentada";"A cidade das águas";"2";"";"";"";"";"";"rascunho (IA)"
"67003";"NAUM_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Naum";"AT";"";"";"Na 1:7";"Segundo Naum 1:7, o que o Senhor é para os que confiam nele?";"Distante e silencioso";"Um juiz implacável";"Um mistério insondável";"Bom, uma fortaleza no dia da angústia";"3";"";"";"";"";"";"rascunho (IA)"
"67004";"NAUM_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Naum";"AT";"";"";"Na 2:13";"O que o Senhor promete queimar na fumaça, em Naum 2:13?";"Os carros de Nínive";"As florestas do Líbano";"Os navios do Egito";"Os campos de trigo";"0";"";"";"";"";"";"rascunho (IA)"
"67005";"NAUM_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Naum";"AT";"";"";"Na 1:1";"Contra qual cidade é dirigido o peso profético do livro de Naum?";"Babilônia";"Nínive";"Jerusalém";"Samaria";"1";"";"";"";"";"";"rascunho (IA)"
"67006";"NAUM_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Naum";"AT";"";"";"Na 2:11";"O que Naum pergunta que desapareceu, comparando Nínive a um covil vazio?";"O ninho das águias";"A toca das raposas";"O covil dos leões";"O curral das ovelhas";"2";"";"";"";"";"";"rascunho (IA)"
"67007";"NAUM_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Naum";"AT";"";"";"Na 3:18";"Naum se dirige a quem, ao dizer que os pastores dormitarão e o povo se derramará pelos montes?";"Ao rei de Judá";"Ao rei do Egito";"Ao rei da Babilônia";"Ao rei da Assíria";"3";"";"";"";"";"";"rascunho (IA)"
"67008";"NAUM_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Naum";"AT";"";"";"Na 1:4";"O que o Senhor faz ao mar, segundo Naum 1:4?";"Repreende-o e o faz secar";"Enche-o de peixes";"Acalma-o com uma palavra";"Multiplica suas águas";"0";"";"";"";"";"";"rascunho (IA)"
"67009";"NAUM_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Naum";"AT";"";"";"Na 3:19";"Como Naum descreve a ferida de Nínive, no último versículo do livro?";"Já curada";"Sem cura";"Pequena e leve";"Escondida dos outros";"1";"";"";"";"";"";"rascunho (IA)"
"67010";"NAUM_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Naum";"AT";"";"";"Na 1:2";"Como Naum descreve o Senhor logo no início do livro, quanto ao seu caráter?";"Deus distante, que ignora as nações";"Deus silencioso, que nunca julga";"Deus zeloso, que toma vingança e é cheio de furor";"Deus indiferente às injustiças";"2";"";"";"";"";"";"rascunho (IA)"
"67011";"NAUM_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Naum";"AT";"";"";"Na 1:3";"Apesar de tardio em irar-se, o que mais Naum 1:3 afirma sobre o Senhor?";"É pequeno diante das nações poderosas";"Nunca se manifesta em tempestades";"Perdoa toda culpa sem exceção";"É grande em força e não tem o culpado por inocente";"3";"";"";"";"";"";"rascunho (IA)"
"67012";"NAUM_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Naum";"AT";"";"";"Na 2:2";"O que o Senhor promete restaurar, em meio ao anúncio de julgamento contra Nínive?";"A excelência de Jacó, como a de Israel";"Os templos pagãos da Assíria";"O comércio internacional de Nínive";"As muralhas de Nô-Amom";"0";"";"";"";"";"";"rascunho (IA)"
"67013";"NAUM_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Naum";"AT";"";"";"Na 2:7";"Como as servas reagem ao ver a rainha de Nínive levada cativa, em Naum 2:7?";"Cantando hinos de vitória";"Gemendo como pombas, batendo no peito";"Rindo com desprezo";"Fugindo em silêncio";"1";"";"";"";"";"";"rascunho (IA)"
"67014";"NAUM_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Naum";"AT";"";"";"Na 3:4";"Por qual prática Nínive é acusada de vender povos e gerações, em Naum 3:4?";"Guerras injustas";"Impostos abusivos";"Feitiçarias";"Falsos profetas";"2";"";"";"";"";"";"rascunho (IA)"
"67015";"NAUM_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Naum";"AT";"";"";"Na 3:8";"Com qual cidade antiga Naum compara Nínive, perguntando se ela é melhor?";"Babilônia";"Jerusalém";"Damasco";"Nô-Amom";"3";"";"";"";"";"";"rascunho (IA)"
"67016";"NAUM_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Naum";"AT";"";"";"Na 1:14";"O que o Senhor promete exterminar da casa do deus de Nínive, em Naum 1:14?";"As imagens de escultura e de fundição";"Os arquivos do reino";"Os exércitos treinados";"Os armazéns de grãos";"0";"";"";"";"";"";"rascunho (IA)"
"67017";"NAUM_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Naum";"AT";"";"";"Na 2:9";"O que Naum convida a saquear de Nínive, descrevendo sua riqueza sem fim?";"Os cavalos e carros";"A prata e o ouro";"Os escravos e servos";"Os templos e altares";"1";"";"";"";"";"";"rascunho (IA)"
"67018";"NAUM_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Naum";"AT";"";"";"Na 3:15";"A que Naum compara a destruição total de Nínive pelo fogo e pela espada?";"À erosão lenta de um rio";"Ao silêncio de um deserto";"À devastação causada pela locusta";"À neblina da manhã";"2";"";"";"";"";"";"rascunho (IA)"
