"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"73000";"AGEU_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Ageu";"AT";"";"";"Ag 1:1";"Quem é o profeta que escreveu o livro de Ageu?";"O profeta Ageu";"O profeta Zacarias";"O profeta Malaquias";"O profeta Joel";"0";"";"";"";"";"";"rascunho (IA)"
"73001";"AGEU_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Ageu";"AT";"";"";"Ag 1:2";"Que obra Ageu incentivava o povo a retomar?";"A construção de um novo altar no deserto";"A reconstrução da Casa do Senhor";"A construção do palácio real";"A reconstrução dos muros de Jerusalém";"1";"";"";"";"";"";"rascunho (IA)"
"73002";"AGEU_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Ageu";"AT";"";"";"Ag 1:1";"Segundo Ageu 1:1, qual era o título de Zorobabel?";"Sumo sacerdote";"Escriba real";"Príncipe de Judá";"Rei de Judá";"2";"";"";"";"";"";"rascunho (IA)"
"73003";"AGEU_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Ageu";"AT";"";"";"Ag 1:1";"Segundo Ageu 1:1, qual era o título de Josué, filho de Jozadaque?";"O príncipe de Judá";"O profeta real";"O governador da Samaria";"O sumo sacerdote";"3";"";"";"";"";"";"rascunho (IA)"
"73004";"AGEU_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Ageu";"AT";"";"";"Ag 1:1";"Quantos capítulos tem o livro de Ageu?";"2";"4";"3";"1";"0";"";"";"";"";"";"rascunho (IA)"
"73005";"AGEU_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Ageu";"AT";"";"";"Ag 1:2";"O que o povo dizia sobre o tempo de reedificar a Casa do Senhor?";"Que era tarefa dos sacerdotes apenas";"Que ainda não era o tempo";"Que já tinham terminado a obra";"Que nunca reedificariam";"1";"";"";"";"";"";"rascunho (IA)"
"73006";"AGEU_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Ageu";"AT";"";"";"Ag 1:1";"Que rei estava reinando na Pérsia durante as profecias de Ageu?";"Artaxerxes";"Nabucodonosor";"Dario";"Ciro";"2";"";"";"";"";"";"rascunho (IA)"
"73007";"AGEU_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Ageu";"AT";"";"";"Ag 1:6";"Segundo Ageu 1:6, o que acontecia com o salário de quem trabalhava?";"Era dobrado";"Era guardado no templo";"Era dividido com os sacerdotes";"Era posto num saquitel furado";"3";"";"";"";"";"";"rascunho (IA)"
"73008";"AGEU_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Ageu";"AT";"";"";"Ag 1:8";"O que Deus mandou o povo trazer do monte, a fim de edificar a casa?";"Madeira";"Pedras";"Ouro";"Água";"0";"";"";"";"";"";"rascunho (IA)"
"73009";"AGEU_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Ageu";"AT";"";"";"Ag 1:12";"Como o povo reagiu depois de ouvir a mensagem de Ageu?";"Continuaram a obra do palácio";"Obedeceram à voz do Senhor e temeram diante dele";"Ignoraram a mensagem";"Expulsaram o profeta";"1";"";"";"";"";"";"rascunho (IA)"
