id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
5000;LEVITICO_COMPLETO;2026-08-22;IA (Claude);1;Levítico;AT;;;Lv 1:1;De onde o Senhor falava a Moisés no início de Levítico?;Da tenda da congregação;Do alto do monte Sinai;De uma sarça ardente;De uma coluna de fogo;0;;;;;;rascunho (IA)
5001;LEVITICO_COMPLETO;2026-08-22;IA (Claude);1;Levítico;AT;;;Lv 8:12;Quem foi ungido como sumo sacerdote de Israel em Levítico?;Josué;Arão;Moisés;Eleazar;1;;;;;;rascunho (IA)
5002;LEVITICO_COMPLETO;2026-08-22;IA (Claude);1;Levítico;AT;;;Lv 1:3;Como deveria ser o animal oferecido em holocausto ao Senhor?;De qualquer espécie;Comprado de estrangeiros;Sem defeito;O mais velho do rebanho;2;;;;;;rascunho (IA)
5003;LEVITICO_COMPLETO;2026-08-22;IA (Claude);1;Levítico;AT;;;Lv 10:1-2;Que dois filhos de Arão morreram por oferecer fogo estranho?;Eleazar e Itamar;Gérson e Merari;Coate e Anrão;Nadabe e Abiú;3;;;;;;rascunho (IA)
5004;LEVITICO_COMPLETO;2026-08-22;IA (Claude);1;Levítico;AT;;;Lv 10:2;O que consumiu os dois filhos de Arão diante do Senhor?;Fogo que saiu de diante do Senhor;Uma praga repentina;A espada dos levitas;Um vento do deserto;0;;;;;;rascunho (IA)
5005;LEVITICO_COMPLETO;2026-08-22;IA (Claude);1;Levítico;AT;;;Lv 11:7;Que animal era proibido como alimento por não ruminar?;A cabra;O porco;A ovelha;O boi;1;;;;;;rascunho (IA)
5006;LEVITICO_COMPLETO;2026-08-22;IA (Claude);1;Levítico;AT;;;Lv 11:9;Que peixes podiam ser comidos pelos israelitas?;Somente os peixes de rio;Somente os peixes pequenos;Os que têm barbatanas e escamas;Todos os peixes do mar;2;;;;;;rascunho (IA)
5007;LEVITICO_COMPLETO;2026-08-22;IA (Claude);1;Levítico;AT;;;Lv 11:3;Que animais eram considerados limpos para o alimento?;Os que vivem em bandos;Os que se alimentam de ervas;Os que não têm chifres;Os que têm unhas fendidas e ruminam;3;;;;;;rascunho (IA)
5008;LEVITICO_COMPLETO;2026-08-22;IA (Claude);1;Levítico;AT;;;Lv 13:2;Que doença de pele recebe leis detalhadas em Levítico?;A lepra;A febre;A cegueira;A paralisia;0;;;;;;rascunho (IA)
5009;LEVITICO_COMPLETO;2026-08-22;IA (Claude);1;Levítico;AT;;;Lv 13:2;Quem examinava a pessoa suspeita de lepra?;O próprio Moisés;O sacerdote;O juiz do povo;O ancião da tribo;1;;;;;;rascunho (IA)
5010;LEVITICO_COMPLETO;2026-08-22;IA (Claude);1;Levítico;AT;;;Lv 16:30;Qual era o dia mais solene do ano para Israel?;O dia da Páscoa;O dia das Primícias;O Dia da Expiação;O primeiro dia do ano;2;;;;;;rascunho (IA)
5011;LEVITICO_COMPLETO;2026-08-22;IA (Claude);1;Levítico;AT;;;Lv 16:34;Quantas vezes por ano o sumo sacerdote entrava no Santo dos Santos?;Três vezes;Sete vezes;Todos os meses;Uma vez;3;;;;;;rascunho (IA)
