"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"51000";"EZEQUIEL_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Ezequiel";"AT";"";"";"Ez 1:1";"Ezequiel teve suas visões estando junto a qual rio, na Babilônia?";"Eufrates";"Rio Quebar";"Tigre";"Jordão";"1";"";"";"";"";"";"rascunho (IA)"
"51001";"EZEQUIEL_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Ezequiel";"AT";"";"";"Ez 1:5";"Na visão inicial de Ezequiel, ele viu quatro seres viventes que tinham semelhança de...";"Homem";"Serafins";"Querubins";"Anjos";"0";"";"";"";"";"";"rascunho (IA)"
"51002";"EZEQUIEL_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Ezequiel";"AT";"";"";"Ez 2:9";"Deus mandou Ezequiel comer um rolo (livro) que continha lamentações, prantos e...";"Lágrimas";"Dores";"Ais";"Gemidos";"2";"";"";"";"";"";"rascunho (IA)"
"51003";"EZEQUIEL_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Ezequiel";"AT";"";"";"Ez 3:3";"Ao comer o rolo, na boca de Ezequiel foi doce como o...";"Maná";"Pão";"Mel";"Vinho";"2";"";"";"";"";"";"rascunho (IA)"
"51004";"EZEQUIEL_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Ezequiel";"AT";"";"";"Ez 3:17";"Deus disse a Ezequiel: eu te dei por atalaia (sentinela) sobre a casa de...";"Judá";"Israel";"Jerusalém";"Sião";"1";"";"";"";"";"";"rascunho (IA)"
"51005";"EZEQUIEL_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Ezequiel";"AT";"";"";"Ez 4:1";"Deus mandou Ezequiel desenhar sobre um tijolo a cidade de...";"Babilônia";"Nínive";"Samaria";"Jerusalém";"3";"";"";"";"";"";"rascunho (IA)"
"51006";"EZEQUIEL_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Ezequiel";"AT";"";"";"Ez 4:6";"Primeiro sobre o esquerdo por Israel, depois sobre o direito por quantos dias, representando a iniquidade de Judá?";"Setenta dias";"Trezentos dias";"Vinte dias";"Quarenta dias";"3";"";"";"";"";"";"rascunho (IA)"
"51007";"EZEQUIEL_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Ezequiel";"AT";"";"";"Ez 5:1";"Deus mandou Ezequiel tomar uma espada afiada e usá-la como navalha, para rapar a sua...";"Face";"Barba";"Cabeça e barba";"Cabeça";"2";"";"";"";"";"";"rascunho (IA)"
"51008";"EZEQUIEL_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Ezequiel";"AT";"";"";"Ez 8:3";"Numa visão, Deus levou Ezequiel a Jerusalém, mostrando-lhe abominações dentro do...";"Palácio";"Templo";"Muro";"Portão";"1";"";"";"";"";"";"rascunho (IA)"
"51009";"EZEQUIEL_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Ezequiel";"AT";"";"";"Ez 10:18";"Nesta visão, a glória do Senhor se retirou de cima do...";"Querubim";"Umbral da casa";"Trono";"Altar";"1";"";"";"";"";"";"rascunho (IA)"
