"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"53000";"DANIEL_COMPLETO_V2";"2026-08-31";"IA (Claude)";"1";"Daniel";"AT";"";"";"Dn 1:6-7";"Quais os quatro jovens hebreus levados para a corte de Nabucodonosor, segundo Daniel 1?";"Daniel, Hananias, Misael e Azarias";"Sadraque, Mesaque, Abede-Nego e Beltessazar";"Gabriel, Miguel, Elias e Eliseu";"Esdras, Neemias, Ageu e Zacarias";"0";"";"";"";"";"";"rascunho (IA)"
"53001";"DANIEL_COMPLETO_V2";"2026-08-31";"IA (Claude)";"1";"Daniel";"AT";"";"";"Dn 1:8";"O que Daniel decidiu não fazer, para não se contaminar na corte do rei?";"Aprender a língua dos caldeus";"Comer a porção do manjar e o vinho do rei";"Servir na casa do rei";"Usar roupas babilônicas";"1";"";"";"";"";"";"rascunho (IA)"
"53002";"DANIEL_COMPLETO_V2";"2026-08-31";"IA (Claude)";"1";"Daniel";"AT";"";"";"Dn 2:31-33";"De que materiais era feita a grande estátua vista em sonho por Nabucodonosor?";"Ouro, madeira, pedra e vidro";"Prata, cobre, chumbo e argila";"Ouro, prata, bronze, ferro e barro";"Ferro, aço, bronze e mármore";"2";"";"";"";"";"";"rascunho (IA)"
"53003";"DANIEL_COMPLETO_V2";"2026-08-31";"IA (Claude)";"1";"Daniel";"AT";"";"";"Dn 2:34-35";"O que aconteceu à estátua depois que uma pedra a feriu nos pés?";"Ela se transformou em ouro puro";"Ela caiu, mas foi reconstruída depois";"Ela subiu aos céus com a pedra";"Ela foi esmiuçada e desapareceu, e a pedra virou um grande monte";"3";"";"";"";"";"";"rascunho (IA)"
"53004";"DANIEL_COMPLETO_V2";"2026-08-31";"IA (Claude)";"1";"Daniel";"AT";"";"";"Dn 3:1";"O que o rei Nabucodonosor mandou construir no campo de Dura, na Babilônia?";"Uma estátua de ouro";"Um templo para Daniel";"Uma nova cidade fortificada";"Um jardim suspenso";"0";"";"";"";"";"";"rascunho (IA)"
"53005";"DANIEL_COMPLETO_V2";"2026-08-31";"IA (Claude)";"1";"Daniel";"AT";"";"";"Dn 3:6";"O que aconteceria a quem não se prostrasse diante da estátua de ouro?";"Seria expulso da Babilônia";"Seria lançado no forno de fogo ardente";"Perderia todos os seus bens";"Seria açoitado publicamente";"1";"";"";"";"";"";"rascunho (IA)"
"53006";"DANIEL_COMPLETO_V2";"2026-08-31";"IA (Claude)";"1";"Daniel";"AT";"";"";"Dn 3:16-18";"O que Sadraque, Mesaque e Abede-Nego responderam ao rei sobre adorar a estátua?";"Que precisavam pensar antes de responder";"Que adorariam a estátua para salvar suas vidas";"Que não serviriam aos deuses do rei, nem que o Deus deles os livrasse ou não";"Que pediriam perdão em nome de todos os judeus";"2";"";"";"";"";"";"rascunho (IA)"
"53007";"DANIEL_COMPLETO_V2";"2026-08-31";"IA (Claude)";"1";"Daniel";"AT";"";"";"Dn 3:25";"O que Nabucodonosor viu dentro do forno de fogo ardente, além dos três hebreus soltos?";"Um anjo com espada flamejante";"Uma nuvem escura cobrindo tudo";"Um grande peixe nadando no fogo";"Um quarto homem, semelhante ao filho dos deuses";"3";"";"";"";"";"";"rascunho (IA)"
"53008";"DANIEL_COMPLETO_V2";"2026-08-31";"IA (Claude)";"1";"Daniel";"AT";"";"";"Dn 4:33";"O que aconteceu a Nabucodonosor, cumprindo a interpretação do sonho da árvore?";"Foi tirado dentre os homens e passou a comer erva como os bois";"Foi coroado rei de toda a terra";"Perdeu todo o seu exército em batalha";"Construiu um novo templo em Jerusalém";"0";"";"";"";"";"";"rascunho (IA)"
"53009";"DANIEL_COMPLETO_V2";"2026-08-31";"IA (Claude)";"1";"Daniel";"AT";"";"";"Dn 5:1";"O que o rei Belsazar fez, reunindo mil dos seus grandes, no início de Daniel 5?";"Declarou guerra à Pérsia";"Deu um grande banquete";"Construiu um novo palácio";"Fez um censo do seu povo";"1";"";"";"";"";"";"rascunho (IA)"
