"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"71000";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Sofonias";"AT";"";"";"Sf 1:1";"Sofonias era filho de quem, segundo o começo do livro?";"Cusi";"Amom";"Josias";"Ezequias";"0";"";"";"";"";"";"rascunho (IA)"
"71001";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Sofonias";"AT";"";"";"Sf 1:1";"Sofonias profetizou nos dias de qual rei de Judá?";"Josias";"Ezequias";"Amom";"Manassés";"0";"";"";"";"";"";"rascunho (IA)"
"71002";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Sofonias";"AT";"";"";"Sf 1:2-3";"O que o Senhor disse que faria com tudo sobre a face da terra?";"Consumir tudo";"Abençoar tudo";"Purificar tudo";"Multiplicar tudo";"0";"";"";"";"";"";"rascunho (IA)"
"71003";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Sofonias";"AT";"";"";"Sf 1:7";"Que dia Sofonias anuncia estar perto?";"O dia do Senhor";"O dia do casamento";"O dia da colheita";"O dia da libertação";"0";"";"";"";"";"";"rascunho (IA)"
"71004";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Sofonias";"AT";"";"";"Sf 3:14";"Quem é convocado a cantar alegremente e se regozijar?";"A filha de Sião";"Os filisteus";"Os etíopes";"Os assírios";"0";"";"";"";"";"";"rascunho (IA)"
"71005";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Sofonias";"AT";"";"";"Sf 3:17";"Com o que o Senhor se alegrará sobre o seu povo?";"Com cantares";"Com sacrifícios";"Com guerras";"Com jejuns";"0";"";"";"";"";"";"rascunho (IA)"
"71006";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Sofonias";"AT";"";"";"Sf 3:19";"O que o Senhor promete fazer com os que coxeiam?";"Salvá-los";"Puni-los";"Ignorá-los";"Expulsá-los";"0";"";"";"";"";"";"rascunho (IA)"
"71007";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Sofonias";"AT";"";"";"Sf 2:1";"Como é chamada a nação convocada a se congregar no início do capítulo 2?";"Nação que não tem desejo";"Nação escolhida";"Nação poderosa";"Nação sacerdotal";"0";"";"";"";"";"";"rascunho (IA)"
"71008";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Sofonias";"AT";"";"";"Sf 2:4";"Qual cidade filisteia seria desamparada?";"Gaza";"Jope";"Hebrom";"Siquém";"0";"";"";"";"";"";"rascunho (IA)"
"71009";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Sofonias";"AT";"";"";"Sf 2:13";"Qual grande cidade se tornaria uma assolação, seca como deserto?";"Nínive";"Babilônia";"Tiro";"Damasco";"0";"";"";"";"";"";"rascunho (IA)"
"71010";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Sofonias";"AT";"";"";"Sf 1:7";"O que o povo deve fazer diante do Senhor DEUS, pois o dia dele está perto?";"Calar-se";"Gritar";"Fugir";"Dançar";"0";"";"";"";"";"";"rascunho (IA)"
"71011";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Sofonias";"AT";"";"";"Sf 3:9";"O que Deus promete dar aos povos para que invoquem seu nome?";"Lábios puros";"Riquezas";"Terras";"Exércitos";"0";"";"";"";"";"";"rascunho (IA)"
"71012";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Sofonias";"AT";"";"";"Sf 3:15";"Quem estará no meio de Sião como rei, segundo a promessa?";"O Senhor";"Um general";"Um profeta";"Um sacerdote";"0";"";"";"";"";"";"rascunho (IA)"
"71013";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Sofonias";"AT";"";"";"Sf 3:3";"A que animais os príncipes de Jerusalém são comparados?";"Leões rugidores";"Ovelhas mansas";"Pombas";"Cavalos";"0";"";"";"";"";"";"rascunho (IA)"
"71014";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Sofonias";"AT";"";"";"Sf 2:5";"Contra que povo o Senhor fala através de Sofonias no capítulo 2?";"Os filisteus";"Os egípcios";"Os babilônios";"Os gregos";"0";"";"";"";"";"";"rascunho (IA)"
"71015";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Sofonias";"AT";"";"";"Sf 1:1";"Sofonias era bisneto de qual rei de Judá?";"Ezequias";"Josias";"Manassés";"Acaz";"0";"";"";"";"";"";"rascunho (IA)"
"71016";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Sofonias";"AT";"";"";"Sf 1:3";"Além dos homens e dos animais, o que mais Deus disse que consumiria?";"As aves do céu e os peixes do mar";"As árvores e os rios";"As montanhas e os vales";"As estrelas e a lua";"0";"";"";"";"";"";"rascunho (IA)"
"71017";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Sofonias";"AT";"";"";"Sf 1:4";"Contra quem o Senhor estenderia a sua mão em juízo?";"Judá e Jerusalém";"Egito e Assíria";"Israel e Samaria";"Edom e Moabe";"0";"";"";"";"";"";"rascunho (IA)"
"71018";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Sofonias";"AT";"";"";"Sf 1:4";"Que resquício de idolatria seria exterminado de Jerusalém?";"O resto de Baal";"O resto de Moloque";"O resto de Quemós";"O resto de Dagom";"0";"";"";"";"";"";"rascunho (IA)"
"71019";"SOFONIAS_COMPLETO";"2026-08-31";"IA (Claude)";"2";"Sofonias";"AT";"";"";"Sf 1:5";"Além do Senhor, por qual deus os idólatras também juravam?";"Malcã";"Baal";"Quemós";"Dagom";"0";"";"";"";"";"";"rascunho (IA)"
